@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
116,OH,22.8,100767,38762,1118,1570,cluster3
117,MN,13.8,244088,80647,4978,12472,cluster5
118,AL,16.22,57677,41940,1251,2646,cluster1
119,NE,10.4,15747,50907,246,327,cluster6
120,OK,17.8,39301,49006,336,653,cluster1
121,OH,24.4,122673,41772,2898,2534,cluster3
122,ND,12.2,1621,38425,18,28,cluster4
123,IA,12.09,7180,43766,45,241,cluster4
124,TX,12.9,251813,41207,4862,9737,cluster4
125,AR,18.3,8436,40402,99,196,cluster7
126,KY,19.4,118576,64005,695,1873,cluster2
127,KY,28.3,42078,51845,335,843,cluster2
128,OH,18.1,802038,46952,5027,35289,cluster1
129,NC,30.5,122135,44998,805,5925,cluster0
130,TN,17.5,8154,35739,203,369,cluster7
131,TX,9.8,839,38627,9,38,cluster4
132,PA,6.92,237892,58722,3922,9844,cluster8
133,WI,9.88,251412,52744,5842,8351,cluster6
134,FL,21.3,19804,36272,475,944,cluster7
135,KY,21.86,20140,35614,460,848,cluster3
136,VA,7.1,379166,91290,4346,7321,cluster5
137,OH,22.59,28456,34778,568,1535,cluster3
138,NY,12.74,32578,49610,247,1470,cluster6
139,OH,5,1265111,41954,26058,25996,cluster6
140,IL,8.2,58961,45606,520,1681,cluster6
141,MI,16.1,23412,43601,240,531,cluster1
142,NJ,6.2,502885,58073,3508,9396,cluster8
143,MD,5.2,834560,69524,5437,13662,cluster8
144,WY,5.9,28702,51003,322,1018,cluster6
145,TX,23.21,10507,31922,122,316,cluster3
146,NY,13.3,96552,45231,2323,5140,cluster1
147,CT,6.7,188789,68658,1340,10235,cluster8
148,VA,17.4,42218,42686,259,1022,cluster1
149,AZ,21.1,8802,53312,151,356,cluster2
150,AL,26.5,20401,31888,107,740,cluster3
151,GA,10.6,11695,32427,98,211,cluster4
152,IN,11.61,32608,42032,218,509,cluster4
153,PA,13.7,147063,44430,3567,2736,cluster1
154,SD,12,13490,40492,267,563,cluster4
155,IN,12.44,33104,45712,238,1481,cluster6
156,TX,28.4,5017,47358,57,152,cluster2
157,MA,8.3,471081,46356,4307,8041,cluster6
158,KY,16.56,8612,41084,183,174,cluster1
159,MT,17,13711,34508,159,341,cluster7
160,GA,26.4,27922,40209,401,985,cluster3
161,MN,7.25,53916,62776,938,1987,cluster8
162,GA,30,21214,37436,521,722,cluster0
163,OH,11.31,38884,49360,672,1772,cluster6
164,ND,15.1,10753,45884,117,210,cluster1
165,NC,20.4,59227,35634,524,1795,cluster7
166,NM,18.6,72913,40552,564,1765,cluster7
167,MS,28.4,20544,32900,228,315,cluster3
168,KY,18.43,73591,35779,1186,1356,cluster7
169,WV,14.4,69141,41221,442,1570,cluster4
170,KS,16.4,4937,51245,96,74,cluster1
171,TX,14.1,20107,48442,486,639,cluster1
172,IL,5.1,12760,43237,201,211,cluster6
173,NC,31.8,90302,49670,660,2938,cluster0
174,MS,21.42,21706,32543,230,363,cluster7
175,SD,14.2,2210,42633,21,129,cluster1
176,IA,12.2,3930,39781,25,148,cluster4
177,CO,13,565360,58152,11414,17550,cluster8
178,WI,9.62,115149,51541,1744,3734,cluster6
179,NC,23,17932,35568,195,339,cluster3
180,IA,9.8,10374,44648,125,453,cluster6
181,VT,13.24,36970,44701,873,841,cluster1
182,WV,17,27204,38629,275,864,cluster7
183,GA,17.68,21864,31042,118,1023,cluster7
184,GA,25.7,17721,52411,159,307,cluster2
185,MS,25.54,8732,27834,135,145,cluster3
186,MD,7,74012,38670,1060,2389,cluster4
187,AR,19.5,22373,32292,159,382,cluster7
188,KY,16.2,12253,36173,131,189,cluster7
189,MD,5.3,239582,80427,4968,10876,cluster5
190,IN,9.98,6065,48788,112,134,cluster6
191,AR,16.7,386299,43898,5269,16506,cluster1
192,TN,19.72,16779,35628,236,936,cluster7
193,KY,25.4,95394,41878,992,2252,cluster3
194,MI,13.52,99440,45512,1087,4587,cluster1
195,NC,20.61,17572,36071,309,275,cluster7
196,NE,22.6,281531,50197,1847,4323,cluster2
197,NY,12.1,99607,92950,1990,4638,cluster5
198,AL,18.9,94166,38876,1047,1437,cluster7
199,GA,24.58,201217,37352,4652,8371,cluster3
200,NE,12.1,8362,43923,195,251,cluster4
201,MO,15.5,18565,38919,462,575,cluster4
202,MI,11.6,23406,42419,577,722,cluster4
203,ND,13.6,2426,40749,26,81,cluster4
204,GA,22.6,7058,30809,130,179,cluster3
205,MD,9.7,49122,55492,341,1364,cluster6
206,TN,13.96,49237,50375,305,2383,cluster1
207,TX,24.5,33831,43183,318,798,cluster3
208,IN,13.95,21499,41004,180,340,cluster4
209,MN,13.2,33000,47356,681,1387,cluster6
210,IN,12.7,49345,41565,332,1034,cluster4
211,TX,18.04,14659,32745,177,747,cluster7
212,AR,18.41,8072,30728,151,412,cluster7
213,IN,14.2,36987,43552,332,1263,cluster1
214,WI,12.1,15992,39134,343,242,cluster4
215,UT,12.8,1431,35233,15,25,cluster4
216,MT,12.44,150069,47346,1466,7653,cluster6
217,TX,24.3,34053,68301,348,1403,cluster2
218,MT,15.1,7733,41367,107,184,cluster1
219,AR,23.23,8264,31224,153,323,cluster3
220,AR,28.5,27938,33789,653,877,cluster3
221,NC,19.9,18548,36934,419,679,cluster7
222,WI,16,23498,51738,208,584,cluster1
223,MN,9.6,396500,69688,9617,12121,cluster8
224,NV,10.7,51216,68759,602,1169,cluster8
225,KS,10.3,3849,36519,55,134,cluster4
226,MO,24.05,6365,27878,146,193,cluster3
227,WY,11.71,92680,53839,1115,2894,cluster6
228,CO,15.7,15475,49861,237,502,cluster1
229,MO,13.9,54397,44742,371,1669,cluster1
230,MN,9.2,36939,53426,318,906,cluster6
231,OH,12.5,61048,41231,632,1462,cluster4
232,TX,15.2,20573,42745,183,311,cluster1
233,CA,21.2,266776,65799,2916,5862,cluster2
234,AR,18.6,23854,34538,552,834,cluster7
235,UT,14.76,21318,47585,109,865,cluster1
236,MS,24.2,19029,32128,158,395,cluster3
237,OH,19.38,440005,38798,6386,9689,cluster7
238,NE,12.24,4478,36861,41,103,cluster4
239,GA,23.7,25700,34445,326,438,cluster3
240,KY,28.4,27174,37316,650,1495,cluster3
241,WA,15.43,21933,41864,259,426,cluster1
242,AL,17.75,17412,39788,174,560,cluster7
243,TX,14,14924,34941,321,686,cluster4
244,VA,22.5,53018,39690,590,1984,cluster3
245,ID,12.48,4215,43519,44,192,cluster4
246,OH,17.8,28912,40017,718,835,cluster7
247,WV,26.5,86888,39456,1563,2200,cluster3
248,KY,33.31,29060,28721,242,728,cluster0
249,KS,17.3,4861,47811,114,100,cluster1
250,MI,15.13,23316,41679,463,866,cluster1
251,NC,19.7,15634,35032,212,346,cluster7
252,CO,21.58,6250,35522,78,128,cluster7
253,GA,15.9,53292,40656,487,893,cluster1
