@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute poverty numeric
@attribute population numeric
@attribute per_capita_income numeric
@attribute num_of_death numeric
@attribute num_of_birth numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
500,IL,15.3,267883,51736,2649,4758,cluster1
501,VA,16.99,6181,36552,57,316,cluster7
502,WA,10.79,254633,60294,3031,11309,cluster8
503,VA,8.6,7157,47828,83,380,cluster6
504,LA,27.2,123441,36573,1892,2751,cluster3
505,MN,5.1,148955,50195,1511,7181,cluster6
506,SC,20.6,60703,38340,1083,1848,cluster7
507,TX,12.77,94,46204,2,4,cluster6
508,KS,11.5,2920,40178,22,117,cluster4
509,WI,10.8,16560,41968,134,539,cluster4
510,MN,13,8703,40704,114,200,cluster4
511,OK,15.6,39292,36119,473,1160,cluster7
512,NC,26.8,153920,41394,2421,8294,cluster3
513,IA,12.71,43938,43120,1030,2198,cluster4
514,IA,15.7,129276,44046,1132,2179,cluster1
515,IN,10,21188,41223,280,415,cluster4
516,WA,12.39,433418,56750,6343,22746,cluster8
517,FL,17.93,8314,37446,86,392,cluster7
518,AL,21.5,22597,37392,192,731,cluster7
519,WV,20.9,192179,45813,1264,10515,cluster2
520,VA,17.6,35849,36203,451,1618,cluster7
521,TX,15.45,3346,47854,52,59,cluster1
522,IN,16.6,163598,56648,3473,5610,cluster1
523,HI,16.8,158226,59281,2219,2923,cluster8
524,PA,12.1,45502,51390,1136,2710,cluster6
525,NC,13.77,41552,50110,298,715,cluster1
526,NY,11.99,79738,47875,829,2031,cluster6
527,IL,14.4,16294,40630,142,500,cluster4
528,AK,22.6,17352,45481,157,438,cluster2
529,NV,8.3,18260,59960,117,322,cluster8
530,MI,16.79,25918,37133,478,560,cluster7
531,FL,19.69,8942,40407,73,477,cluster7
532,MI,16.82,32718,43873,680,675,cluster1
533,KS,9.64,8533,54644,109,252,cluster6
534,WI,14.8,15205,43423,88,274,cluster1
535,TX,20,37825,43303,940,764,cluster7
536,KY,20.08,20256,38028,288,1069,cluster7
537,IN,24.2,24101,36734,172,1171,cluster3
538,MO,18.9,4144,31978,92,140,cluster7
539,MI,19.2,75454,44119,1391,1922,cluster1
540,TX,21.36,18633,36761,434,1005,cluster7
541,NC,15.9,43056,34000,733,1714,cluster7
542,NC,16.5,172223,49355,1385,2762,cluster1
543,WV,23.2,6812,33915,94,129,cluster3
544,CA,15.24,19765,44923,403,508,cluster1
545,ND,11.7,1838,60116,13,57,cluster8
546,MD,8.6,32718,48772,353,759,cluster6
547,MT,20.69,865,32236,10,13,cluster7
548,MA,7.81,1518171,76803,19327,23654,cluster5
549,TX,8.8,13640,36312,216,529,cluster4
550,ND,11.73,64072,53157,595,2660,cluster6
551,AL,26.7,33182,32411,331,1883,cluster3
552,SD,14.69,102815,48083,2166,2703,cluster1
553,AL,27.19,10542,26038,108,171,cluster3
554,MI,19.5,1205508,60392,23934,39018,cluster2
555,NE,9.73,9184,51371,112,522,cluster6
556,OH,13.5,27722,35051,521,840,cluster4
557,SD,11.1,6446,51945,130,308,cluster6
558,MI,27.47,31033,31443,453,1629,cluster3
559,IN,13.7,8804,48692,80,165,cluster1
560,TX,15.7,27126,42160,359,1288,cluster1
561,IN,17.2,918977,41586,16889,28453,cluster1
562,UT,14.7,6501,46309,39,315,cluster1
563,OR,14.57,37153,43544,542,745,cluster1
564,AL,23.5,114081,37916,1266,4327,cluster3
565,TX,11.75,25114,51981,536,868,cluster6
566,MN,13.6,13128,41695,165,246,cluster4
567,IN,6.1,147979,64239,931,4345,cluster8
568,TX,12.66,16666,44411,247,864,cluster6
569,GA,28.9,17550,40001,190,275,cluster3
570,AL,17.6,102369,40428,2388,4799,cluster7
571,IN,16.7,34367,47229,334,517,cluster1
572,FL,19.1,47474,35704,446,757,cluster7
573,IA,11.1,33419,55505,254,1920,cluster6
574,GA,17,25440,32860,555,1021,cluster7
575,FL,18,67966,37091,964,2093,cluster7
576,OH,13.03,369999,53275,6993,6061,cluster6
577,VA,19.28,43511,41826,297,2210,cluster7
578,NC,13.3,10071,38578,193,423,cluster4
579,OH,9.6,532562,40885,4959,19566,cluster4
580,IA,8.1,15472,40158,321,718,cluster4
581,KY,17.8,28183,25771,484,501,cluster7
582,CA,14.2,3174,42800,63,145,cluster1
583,MS,25.3,30302,34698,311,529,cluster3
584,MO,23.4,17908,29608,354,979,cluster3
585,GA,13.83,10611,36858,129,566,cluster4
586,ND,7.6,4347,31337,31,127,cluster4
587,IA,10.6,92913,49911,1333,4548,cluster6
588,GA,24.92,10211,30720,140,302,cluster3
589,NE,13.51,2723,50811,19,59,cluster6
590,CO,11.9,23383,81528,363,812,cluster5
591,NC,15.8,47507,38256,1149,2349,cluster7
592,AK,15.7,3161,51514,70,159,cluster1
593,IA,13.8,15260,40960,81,876,cluster4
594,KS,11.15,2143,42171,32,90,cluster4
595,NM,17.9,206419,35584,1446,3621,cluster7
596,MO,27.3,6108,35755,105,284,cluster3
597,MN,9.47,5218,44278,62,256,cluster6
598,LA,16.44,20117,38478,384,890,cluster7
599,SD,39.2,32629,49554,384,1154,cluster0
600,MT,11.14,727,42837,5,29,cluster4
601,ID,12.7,5277,42224,92,102,cluster4
602,OK,21.9,41398,34195,699,943,cluster3
603,OH,17.69,106094,41453,805,5784,cluster7
604,MI,15.3,42063,42657,755,2199,cluster1
605,ID,15.8,16437,40110,306,653,cluster1
606,CO,17.3,303482,62215,2007,15723,cluster8
607,IN,24.3,47024,46129,350,1535,cluster2
608,CT,11.3,848006,57070,11313,43698,cluster8
609,KS,12.3,2784,45933,33,140,cluster6
610,TX,10.6,10893,47434,181,551,cluster6
611,IN,20.8,36001,40466,428,1587,cluster7
612,IL,14.8,30013,47111,659,1117,cluster1
613,IA,9.4,19601,44795,270,1036,cluster6
614,MI,17.1,10635,37443,216,323,cluster7
615,TX,20.3,32025,39237,457,1174,cluster7
616,MN,11.4,121907,66714,675,2280,cluster8
617,TN,21.5,22706,35278,116,606,cluster7
618,WI,15.4,100677,47895,1555,4607,cluster1
619,NJ,18,147442,85036,1597,3689,cluster5
620,TX,12.3,19515,45402,315,307,cluster6
621,NE,25.65,7006,38786,112,341,cluster3
622,NC,15.47,107927,46165,841,1740,cluster1
623,VA,9.5,36886,57173,556,918,cluster8
624,IN,12.8,15083,49837,131,737,cluster6
625,KY,18.8,46909,39733,450,1621,cluster7
626,CT,9.09,925899,77065,22110,38174,cluster5
627,WV,16.32,56586,39774,512,1126,cluster7
628,FL,13.19,301019,44965,2492,7213,cluster1
629,WI,15.5,16181,36651,187,268,cluster7
630,NE,8.4,8125,37980,197,357,cluster4
631,CA,13.9,148764,44020,781,2714,cluster1
632,NC,15,20442,36158,211,330,cluster4
633,TN,18.6,66282,34649,986,2045,cluster7
634,IL,18.25,17708,39099,363,512,cluster7
635,NE,11.4,1953,38142,35,45,cluster4
636,OH,17.63,78249,43118,1664,2116,cluster1
637,AK,13.1,5627,35177,42,88,cluster4
638,MO,21.9,12382,37664,191,186,cluster7
639,WV,16.3,13912,38013,246,318,cluster7
640,TX,22.9,49786,40919,1239,1456,cluster3
641,OH,21.04,62489,37666,605,1453,cluster7
642,TN,12.7,73229,34060,1482,2353,cluster4
643,MA,13.4,755618,67408,11830,28536,cluster8
644,MN,10,5025,35978,62,115,cluster4
645,TX,19.1,22363,33198,387,948,cluster7
646,IL,22.9,16209,47404,404,454,cluster2
647,CO,7.7,7558,62368,165,319,cluster8
648,TX,12.1,19610,34166,210,381,cluster4
649,KY,14.2,18794,42124,223,323,cluster1
650,OH,16.5,158488,51247,3494,7691,cluster1
651,IN,13.18,21356,42608,307,1042,cluster4
652,TN,15.2,21866,29792,220,455,cluster7
653,IA,12.8,43788,43822,741,1365,cluster4
654,MO,21.3,8993,36950,154,321,cluster7
655,MN,10.3,197767,42087,3253,6776,cluster4
656,KS,10.06,4531,49141,39,109,cluster6
657,TX,11.17,152753,60931,1149,2425,cluster8
658,WV,17.9,44015,38997,995,1526,cluster7
659,VA,20.5,31969,35196,241,1091,cluster7
660,VA,23.78,13559,30227,319,691,cluster3
661,TX,18.4,35956,68975,644,1929,cluster8
662,ND,8.8,2337,33842,34,50,cluster4
663,SC,19.3,27362,34125,463,1432,cluster7
664,SD,15.7,11994,46388,257,482,cluster1
665,WI,9.14,23599,51740,340,403,cluster6
666,KS,18.16,10010,40424,55,366,cluster7
667,GA,19.6,977773,55816,9597,33578,cluster2
668,VA,7.4,35399,64606,623,1419,cluster8
669,IN,13.8,32463,41504,618,1576,cluster4
670,VA,7.75,442707,64107,10173,15404,cluster8
671,NC,13.2,112257,48624,775,1823,cluster6
672,GA,27.62,27434,32915,516,572,cluster3
673,PA,13.2,40646,43583,723,1671,cluster4
674,MI,10.76,108056,51428,2619,4557,cluster6
675,NE,10,2887,42059,29,88,cluster4
676,VA,18.14,17204,35207,427,602,cluster7
677,NV,8.6,4653,40308,99,174,cluster4
678,MO,17.2,9857,39383,133,530,cluster7
679,NV,9.9,52641,47108,1061,1876,cluster6
680,PA,13.4,1229338,50831,28527,22184,cluster1
681,WI,22.5,41563,43064,805,758,cluster2
682,WY,12.7,10368,68509,86,246,cluster8
683,KY,24.13,10937,27480,248,251,cluster3
684,WI,9,101843,53548,725,2334,cluster6
685,NE,12.6,6485,55422,69,302,cluster6
686,MI,21.2,21437,33769,492,1042,cluster7
687,AL,23.6,57820,34310,584,972,cluster3
688,IL,21.7,22058,40877,464,526,cluster7
689,PA,17.4,89298,41707,453,1412,cluster1
690,KY,18.5,49804,46946,1000,2603,cluster1
691,TX,16.2,6412,39988,111,240,cluster1
692,FL,21,29415,33732,204,514,cluster7
693,IL,10,60071,31900,796,2142,cluster4
694,ND,10.7,28101,54909,248,697,cluster6
695,OK,17.7,30393,36077,421,1653,cluster7
696,NJ,5.66,148517,82987,804,3561,cluster5
697,MD,23.82,619493,38478,12118,21993,cluster3
698,VA,18.77,4054,32624,34,134,cluster7
699,ID,15.4,9117,40069,67,418,cluster1
700,IA,8.3,8253,37561,45,319,cluster4
701,PA,14.7,808460,76924,6560,41593,cluster5
702,NY,11.6,50478,56891,555,979,cluster8
703,SC,30,55662,37135,345,1734,cluster0
704,AZ,17.7,203334,34966,4930,4346,cluster7
705,WA,17.29,72546,40886,682,3927,cluster7
706,TN,20.1,63033,38711,945,1782,cluster7
707,TN,25.6,12792,32591,157,656,cluster3
708,KY,18.3,11802,31964,73,418,cluster7
709,MN,14.6,3880,39391,80,123,cluster4
710,NY,10.6,24482,43820,237,778,cluster6
711,MO,16.8,56121,40955,681,1608,cluster1
712,IA,10.4,17144,46411,238,285,cluster6
713,VA,10.5,6707,36289,147,323,cluster4
714,MI,13.4,76001,59008,554,2061,cluster8
715,VA,9.7,433575,63354,3610,22654,cluster8
716,NY,10.68,4793,43104,55,161,cluster4
717,UT,7.9,231834,53612,1509,4422,cluster6
718,MS,12.44,96941,55692,772,4190,cluster6
719,TN,22.13,22485,34262,325,566,cluster3
720,KS,13.8,23488,47113,279,455,cluster1
721,NE,15.7,509,41244,4,28,cluster1
722,IL,20.9,14560,51209,304,783,cluster2
723,MN,7,14506,44645,86,446,cluster6
724,ME,13.67,54578,44599,1033,2734,cluster1
725,NY,15,88331,46130,566,2342,cluster1
726,TX,9.6,34370,37495,479,1672,cluster4
727,MS,21.34,19629,31655,305,458,cluster7
728,NE,10.1,3715,44501,87,83,cluster6
729,MO,11.1,59069,41623,1134,1581,cluster4
730,GA,20.2,6504,28818,75,316,cluster7
731,MN,12.89,16220,39958,279,651,cluster4
732,GA,20.7,11528,39614,129,403,cluster7
733,MD,5.4,32043,39630,651,1070,cluster4
734,MN,9.6,19237,52927,112,825,cluster6
735,KS,9,63357,41717,686,1190,cluster4
736,CO,19.5,5365,30460,76,111,cluster7
737,MO,17.52,165627,46769,966,7086,cluster1
738,UT,13.42,6594,44126,38,305,cluster1
739,IA,16.8,16599,48190,315,466,cluster1
740,ND,17.4,22847,49736,524,932,cluster1
741,MA,20.5,10298,70286,187,291,cluster2
742,PA,15.7,116205,41535,1380,3341,cluster1
743,ND,15.8,2343,42943,39,53,cluster1
744,KY,14.7,750828,45913,4498,38881,cluster1
745,LA,13.1,18989,29891,209,512,cluster4
746,AZ,19.34,37147,40548,543,1769,cluster7
747,VA,25.5,21347,81707,434,820,cluster2
748,IN,11.3,14548,46770,130,255,cluster6
749,OK,19.63,20360,32487,320,412,cluster7
750,SD,17.2,22603,48284,565,758,cluster1
751,MN,9.8,35348,50049,449,723,cluster6
752,NV,8.7,55176,49386,810,1894,cluster6
753,KY,22.1,43614,56021,647,1242,cluster2
754,VA,20.8,5740,32225,60,296,cluster7
755,MI,32.5,16891,38810,280,763,cluster0
756,IL,9.8,80727,40709,1370,1517,cluster4
757,CA,6.86,727209,81378,4726,10876,cluster5
758,ND,11.85,2380,43249,17,52,cluster4
759,VA,7.2,67154,51656,1080,2571,cluster6
760,KY,29.2,25172,32864,218,1114,cluster3
761,GA,28.21,6825,30131,92,277,cluster3
762,TX,20.5,791631,77862,6855,12079,cluster5
763,NC,23.52,24180,33305,416,1030,cluster3
764,TX,13,4968,57589,42,80,cluster8
765,IL,12.6,6914,46481,150,194,cluster6
766,IL,8,4358,34228,90,242,cluster4
767,MI,19.4,8707,31303,114,340,cluster7
768,NE,13.64,6619,44394,161,192,cluster1
769,AL,19.5,198596,41495,1527,5923,cluster7
770,TN,22.6,337175,44132,2593,11254,cluster2
771,IN,15.5,26837,44230,414,490,cluster1
772,PA,10.8,44952,49327,414,828,cluster6
773,TX,10,83675,38954,846,1329,cluster4
774,NJ,15.6,629384,81190,6067,29912,cluster5
775,KS,13.8,5519,43519,134,167,cluster1
776,MT,14.7,3068,38140,40,89,cluster4
777,LA,9.05,236785,57694,2570,7871,cluster8
778,TX,19.2,3264,47322,79,175,cluster1
779,WA,17.4,58016,46062,585,967,cluster1
780,TX,13,1221,54354,28,48,cluster6
781,OH,11.5,28587,42540,450,504,cluster4
782,NY,14.2,47276,41195,1154,1196,cluster4
783,CA,26.02,942904,42572,20594,50371,cluster2
784,MO,15,89666,42031,659,1983,cluster1
785,ND,8.2,4457,43499,46,230,cluster6
786,GA,23.35,9298,30500,188,246,cluster3
787,AR,17.82,12996,38937,187,393,cluster7
788,ND,11.3,1924,45334,13,84,cluster6
789,IL,10.19,14824,49994,154,296,cluster6
790,NC,17.41,273392,47007,3592,4787,cluster1
791,NE,11.3,8295,49880,136,127,cluster6
792,TN,31.9,54109,36214,689,858,cluster0
793,FL,25.7,74809,52152,1788,1154,cluster2
794,KY,18.3,46513,41745,435,2169,cluster7
795,MI,12.52,842145,50958,9973,30849,cluster6
796,NE,8.77,6155,48448,40,148,cluster6
797,TX,16.9,87079,42821,1071,2282,cluster1
798,MD,15.7,550488,87083,10112,28106,cluster5
799,TN,23.3,45133,37850,839,1113,cluster3
800,OK,17.5,2385,39376,27,69,cluster7
801,OK,17.28,12810,33309,88,477,cluster7
802,CA,11.6,13526,35162,100,391,cluster4
803,TN,22.4,40970,31699,518,839,cluster3
804,TX,14.4,74763,50024,741,2400,cluster1
805,LA,13,257093,40455,2803,6032,cluster4
806,OH,19.1,30708,38397,704,670,cluster7
807,NV,19.9,1902834,51427,22373,51306,cluster9
808,CA,18.4,9962789,52929,146962,162285,cluster9
809,MN,9.89,9640,46209,215,473,cluster6
810,MS,32.65,33771,28802,270,612,cluster0
811,VA,13.38,17124,43139,205,498,cluster4
812,IL,14.4,4272,38588,35,155,cluster4
813,VA,14.1,31749,37435,713,1399,cluster4
814,TX,23.3,1880153,56030,14153,87826,cluster9
815,OK,16,14007,36614,235,268,cluster7
816,NH,11.14,43462,47868,658,1694,cluster6
817,FL,23.4,139360,38937,1369,4025,cluster3
818,MD,14.5,150592,89203,1360,2434,cluster5
819,AZ,23.7,194825,36446,4429,9913,cluster3
820,OR,15.21,75993,52277,616,3022,cluster1
821,FL,14.2,187436,60841,1471,4656,cluster8
822,ID,17.55,16446,39184,396,626,cluster7
823,IL,14.9,18359,41520,453,464,cluster1
824,IA,7.09,24281,57646,498,384,cluster8
825,TN,22.5,26082,34534,202,622,cluster3
826,SC,25.9,70045,36345,1012,2053,cluster3
827,MO,23.2,25810,32116,491,731,cluster3
828,KY,15.1,11315,32246,73,522,cluster4
829,OR,20.2,46151,39738,971,954,cluster7
830,NC,21.9,168525,46922,1185,2625,cluster2
831,NE,9.5,2010,48409,42,58,cluster6
832,GA,17.1,21663,36331,332,458,cluster7
833,TN,18.8,31876,36247,431,1492,cluster7
834,TN,19.2,166123,55100,1490,8265,cluster2
835,KY,18.48,7071,34886,98,351,cluster7
836,PA,12.8,54183,39351,636,922,cluster4
837,TX,12.74,55246,52514,582,2259,cluster6
838,NE,13.38,5761,39638,111,101,cluster4
839,AR,26.6,9164,32896,68,301,cluster3
840,NC,26.2,103669,43589,1243,1632,cluster3
841,TN,16.4,18901,35688,381,999,cluster7
842,KY,24.6,12651,31129,254,401,cluster3
843,KY,19.7,9403,27133,118,188,cluster7
844,MT,12.5,2104,30385,40,57,cluster4
845,TX,24,144325,49784,2941,3291,cluster2
846,TX,9.4,16117,57690,401,618,cluster8
847,NY,15.3,79552,49412,1065,1950,cluster1
848,GA,15.7,16478,29683,101,444,cluster7
849,IN,10.14,141656,61477,3348,2665,cluster8
850,GA,12,101505,48780,2338,3864,cluster6
851,AR,21.2,21524,39276,234,523,cluster7
852,OH,12.4,463493,39200,7854,15022,cluster4
853,TX,19.7,10324,33330,113,490,cluster7
854,KS,16.3,55988,45225,758,1417,cluster1
855,KS,12.4,1742,44288,16,40,cluster6
856,NV,9.9,5841,64392,61,91,cluster8
857,OH,20,534325,42859,9338,9082,cluster7
858,VT,15.8,6983,54915,99,291,cluster1
859,MO,16.5,31039,29372,443,719,cluster7
860,NE,12.9,339,34804,10,6,cluster4
861,KY,41,14151,40232,101,563,cluster0
862,AL,39.6,12384,21611,143,194,cluster0
863,NC,16,8001,31863,137,335,cluster7
864,VA,19,11794,79229,87,627,cluster5
865,VA,26.2,12097,84177,143,610,cluster5
866,KS,13.1,4342,39980,67,87,cluster4
867,ID,15.8,9258,36906,106,203,cluster7
868,CA,16.4,55058,58194,396,846,cluster8
869,AL,21.5,94776,36960,1065,1469,cluster7
870,ND,9.92,25177,55492,247,563,cluster6
871,AZ,18.2,202351,35998,4753,5912,cluster7
872,KS,16.92,3292,33221,61,106,cluster7
873,FL,17.33,280379,41384,5220,12604,cluster1
874,AR,14.4,7987,30984,96,146,cluster4
875,TN,17.91,42115,33963,469,1607,cluster7
876,NE,20.3,2063,34564,35,61,cluster7
877,MN,11.28,11201,46565,148,226,cluster6
878,AR,20.5,17664,28933,269,385,cluster7
879,UT,11.2,25946,39999,188,471,cluster4
880,IA,6.4,17205,45910,304,522,cluster6
881,NY,9.8,66021,50269,730,3465,cluster6
882,AL,20.19,143468,42539,2663,6326,cluster7
883,OH,18.21,68828,41103,549,1460,cluster7
884,MS,17.7,15291,30278,383,435,cluster7
885,LA,28.8,12154,23837,295,579,cluster3
886,KY,24.5,31274,37614,337,1312,cluster3
887,NY,17.4,31529,47350,517,1376,cluster1
888,NE,12.41,22031,45221,468,539,cluster6
889,MI,12.6,135616,42665,1534,2366,cluster4
890,VA,11.17,4657,42423,59,230,cluster4
891,PA,10.9,143998,40494,1865,2227,cluster4
892,TX,22.3,2290,31430,15,62,cluster3
893,NE,8.6,1509,34679,31,54,cluster4
894,NE,9.7,3062,34659,37,47,cluster4
895,CO,24.77,3662,26125,51,100,cluster3
896,IA,17.9,8689,42459,69,242,cluster1
897,NC,16.1,500879,43299,4340,9910,cluster1
898,NC,15.75,119256,40617,1008,6017,cluster1
899,AZ,20.02,200870,37894,2312,8260,cluster7
900,IL,9.9,34638,43393,790,1624,cluster6
901,TX,11.1,7330,48727,151,354,cluster6
902,SC,21.9,25833,35692,292,868,cluster3
903,CO,30.9,55990,76006,297,861,cluster2
904,TN,18.65,24406,35094,316,1173,cluster7
905,VA,22.2,150006,78023,2651,3197,cluster5
906,SC,27.8,30912,28665,722,1473,cluster3
907,VA,19.3,54888,32669,1311,2519,cluster7
908,KY,22.3,65549,42853,1374,1610,cluster7
909,VA,7.7,301171,119075,7071,8928,cluster5
910,SD,10.2,7124,41592,118,308,cluster4
911,MN,15.2,36322,56940,252,1434,cluster8
912,OH,22.7,167537,52678,2287,3072,cluster2
913,NM,21.2,16475,36588,141,249,cluster7
914,TN,16.9,81990,43346,1931,2609,cluster1
915,SD,15.3,3431,42413,57,83,cluster1
916,NV,14.75,1969975,48343,13860,93071,cluster9
917,KY,18.52,12973,36650,79,493,cluster7
918,OH,15.77,29394,42491,276,1534,cluster1
919,MI,12.1,15936,31998,124,791,cluster4
920,MO,15.9,15359,37130,290,737,cluster7
921,NC,20.99,21556,35013,356,842,cluster7
922,TN,25.92,19200,35740,385,328,cluster3
923,IN,21.49,139799,40262,3016,7310,cluster7
924,GA,16.61,14686,44066,210,784,cluster1
925,GA,11.6,18057,38892,284,841,cluster4
926,TN,21.2,66931,54065,1503,2672,cluster2
927,MO,19.2,12337,37460,223,353,cluster7
928,GA,24.35,6777,30237,108,229,cluster3
929,CA,9.3,178447,65201,2710,4632,cluster8
930,VT,13.2,56552,48804,557,1388,cluster6
931,LA,13.02,96666,48180,1916,4214,cluster6
932,PA,9.6,28125,47497,554,1508,cluster6
933,NE,12,8378,36806,140,452,cluster4
934,CO,17.5,3594,26075,56,55,cluster7
935,MT,12.4,5904,39833,106,131,cluster4
936,MO,26.7,10277,47429,159,459,cluster2
937,TX,20.7,83021,85164,527,4294,cluster5
938,GA,13.2,32550,63806,251,1254,cluster8
939,TX,14.46,213381,44261,2937,3303,cluster1
940,LA,17.15,194092,41065,1015,8988,cluster1
941,WI,10.7,45733,42676,232,762,cluster4
942,FL,26.4,140567,42638,1705,2608,cluster3
943,GA,24.9,96250,38289,1140,3823,cluster3
944,LA,19.6,52681,55684,948,1022,cluster2
945,MN,9.12,64409,56781,989,2535,cluster8
946,SD,14.2,2420,45947,47,111,cluster1
947,WI,14.7,4482,44666,44,129,cluster1
948,PA,11.6,44764,40876,922,1819,cluster4
949,VA,9.51,18660,60710,295,857,cluster8
950,HI,12.5,90,65844,1,4,cluster8
951,TX,16.24,20538,46652,245,345,cluster1
952,IA,9.66,7527,44701,82,309,cluster6
953,IL,10.9,18471,39386,275,573,cluster4
954,TX,11.9,456232,71272,9602,20291,cluster8
955,OR,17.1,15909,37025,188,633,cluster7
956,TX,11.28,8842,52318,87,157,cluster6
957,MO,16.3,39139,38105,379,1209,cluster7
958,ME,18.41,52028,37339,1053,2427,cluster7
959,MI,14.2,23969,40253,155,1241,cluster4
960,GA,24.5,16048,39176,314,792,cluster3
961,MN,11.7,25074,49218,601,663,cluster6
962,SD,47.4,2359,47805,13,122,cluster0
963,AR,28.29,12763,30186,202,225,cluster3
964,MS,18.2,34563,26037,335,600,cluster7
965,TX,27.4,7033,42646,61,141,cluster3
966,IL,13.44,34865,46401,833,1783,cluster1
967,NE,12.9,6652,40652,92,169,cluster4
968,TX,16.3,3789,33182,60,136,cluster7
969,ID,17.32,10804,33655,151,378,cluster7
970,NC,25,59794,42854,433,2025,cluster3
971,WY,12,8792,73855,47,140,cluster8
972,IN,6.4,37777,46530,384,812,cluster6
973,TX,10.54,8451,52134,202,128,cluster6
974,GA,35.7,714692,59471,4570,36148,cluster2
975,MI,15.6,31553,36316,469,1215,cluster7
976,VA,17.6,44268,34760,393,1207,cluster7
977,SD,11.18,171752,51431,882,3395,cluster6
978,MN,8.2,9594,48660,88,466,cluster6
979,ND,11.9,5268,50978,44,111,cluster6
980,ND,8.6,2318,52033,54,36,cluster6
981,SD,10.8,1123,37407,16,43,cluster4
982,GA,27,96217,43825,794,1573,cluster3
983,WY,9.3,41110,47906,931,1641,cluster6
984,MS,38.4,16345,34678,111,502,cluster0
985,KS,12.66,3215,39317,29,147,cluster4
986,AR,29,96903,39617,2224,2367,cluster3
987,MI,21,86333,47442,1359,2388,cluster2
988,GA,22.8,7939,29780,160,411,cluster3
989,NY,13,57868,47387,1287,2166,cluster6
990,TX,25.66,11669,31294,78,206,cluster3
991,TN,19.89,935088,44051,12450,47020,cluster1
992,WV,18.8,16416,37270,188,604,cluster7
993,AL,17.8,48147,41287,494,1643,cluster7
994,WI,11.9,80583,48059,1525,2360,cluster6
995,NE,12.1,11317,53635,248,507,cluster6
996,SD,9.96,3002,53986,52,56,cluster6
997,TN,19.1,28517,34566,381,496,cluster7
998,CO,14.6,6304,30197,127,149,cluster4
999,MN,10.8,131939,78307,2788,6033,cluster5
1000,UT,7.6,545307,54385,9307,13185,cluster6
1001,ID,12.5,23099,39724,198,348,cluster4
1002,AL,36.5,11431,22126,84,594,cluster0
1003,TX,18.79,3741,32208,57,174,cluster7
1004,IL,14.2,11727,46323,224,181,cluster1
1005,NH,10.2,32096,40162,493,1115,cluster4
1006,VA,15.4,73658,49773,1170,2468,cluster1
1007,MS,38.7,158719,58979,3448,8360,cluster0
1008,TX,18.8,11046,39091,139,499,cluster7
1009,OR,14,1953,49735,36,78,cluster1
1010,VA,17.07,15328,31286,360,334,cluster7
1011,GA,20.8,144800,59621,1929,8589,cluster2
1012,OH,13.7,40945,50707,444,839,cluster6
1013,NC,19.95,27143,34333,560,714,cluster7
1014,IA,12.4,24907,58885,292,670,cluster8
1015,OH,20.3,28350,34955,597,1295,cluster7
1016,KS,17.5,3753,38120,29,130,cluster7
1017,VT,13.3,56211,50094,501,1230,cluster6
1018,TN,15.12,53838,42542,687,933,cluster1
1019,WA,18.7,43538,39948,298,1897,cluster7
1020,KS,9.61,1749,47900,18,32,cluster6
1021,MN,15.2,64854,59332,1398,2994,cluster8
1022,MS,22.5,25390,33705,505,619,cluster3
1023,GA,27.6,4325,37761,30,71,cluster3
1024,CA,22.8,947895,41563,9873,31124,cluster2
1025,AR,17.8,66677,50021,555,1070,cluster1
1026,ND,11.28,6443,52360,63,139,cluster6
1027,OK,22.5,9558,43083,165,364,cluster2
1028,MS,22.3,9023,31632,98,168,cluster3
1029,FL,20.8,333895,46999,1864,14771,cluster2
1030,NC,25.8,20874,29615,191,477,cluster3
1031,PA,9.3,63865,45698,1211,2776,cluster6
1032,AR,21.1,53022,33938,492,923,cluster7
1033,NE,11.1,9720,49417,95,152,cluster6
1034,SD,10.9,21986,45297,423,1065,cluster6
1035,NC,26.9,24216,53939,219,1177,cluster2
1036,IA,11,9671,44859,106,527,cluster6
1037,NE,9.6,10651,40830,186,410,cluster4
1038,TX,12,8598,52988,187,265,cluster6
1039,MN,9.6,31002,42250,348,473,cluster4
1040,KY,16.9,8787,43903,136,170,cluster1
1041,LA,20.89,26812,40507,585,1105,cluster7
1042,UT,12.2,8908,71484,201,172,cluster8
1043,NY,13.1,1518475,81235,32506,44081,cluster5
1044,MI,14.8,16092,34116,341,799,cluster4
1045,VA,6.66,24161,75935,191,721,cluster5
1046,PA,10.3,39517,41949,291,1737,cluster4
1047,SD,9.54,5179,46244,65,187,cluster6
1048,MO,19.69,25552,33639,612,1168,cluster7
1049,ID,22.55,11438,33518,210,457,cluster3
1050,IA,18.5,12241,39977,143,229,cluster7
1051,MO,19.1,3475,35184,21,189,cluster7
1052,MO,15.63,18572,38595,299,586,cluster7
1053,OH,21.7,29273,38927,262,780,cluster7
