@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
158,KY,42,12,0,0,cluster6
159,MT,35,13,0,6,cluster0
160,GA,38,12,7,0,cluster6
161,MN,33,8,12,3,cluster8
162,GA,37,12,9,3,cluster2
163,OH,35,11,3,9,cluster2
164,ND,34,7,28,3,cluster8
165,NC,38,15,13,3,cluster0
166,NM,31,7,8,0,cluster8
167,MS,45,13,5,3,cluster6
168,KY,36,11,4,3,cluster2
169,WV,37,13,13,3,cluster0
170,KS,36,9,40,3,cluster4
171,TX,38,10,5,3,cluster1
172,IL,37,10,16,0,cluster3
173,NC,31,11,10,3,cluster2
174,MS,42,14,13,3,cluster0
175,SD,34,10,0,0,cluster3
176,IA,35,9,0,3,cluster3
177,CO,20,6,12,9,cluster9
178,WI,34,9,8,6,cluster3
179,NC,35,10,0,3,cluster3
180,IA,41,8,10,3,cluster8
181,VT,26,7,22,3,cluster9
182,WV,40,12,7,3,cluster6
183,GA,35,11,9,3,cluster2
184,GA,36,11,17,0,cluster2
185,MS,43,14,0,0,cluster7
186,MD,34,12,13,3,cluster2
187,AR,43,14,13,3,cluster7
188,KY,40,11,0,0,cluster1
189,MD,29,9,13,3,cluster5
190,IN,38,11,17,0,cluster1
191,AR,35,11,10,27,cluster2
192,TN,40,13,0,3,cluster6
193,KY,35,11,11,3,cluster2
194,MI,39,10,10,6,cluster1
195,NC,36,10,0,3,cluster3
196,NE,29,7,15,12,cluster9
197,NY,34,9,19,3,cluster3
198,AL,34,12,2,3,cluster2
199,GA,37,12,6,12,cluster2
200,NE,32,9,0,0,cluster3
201,MO,39,11,5,3,cluster1
202,MI,37,10,9,0,cluster3
203,ND,38,10,41,0,cluster4
204,GA,38,12,14,0,cluster6
205,MD,31,11,14,3,cluster2
206,TN,37,13,4,3,cluster0
207,TX,37,11,6,3,cluster1
208,IN,43,11,4,0,cluster1
209,MN,35,8,9,3,cluster8
210,IN,37,11,12,3,cluster1
211,TX,39,13,14,3,cluster0
212,AR,42,13,0,3,cluster6
213,IN,41,12,13,3,cluster6
214,WI,36,9,12,3,cluster3
215,UT,38,10,0,0,cluster1
216,MT,30,8,18,6,cluster5
217,TX,31,10,9,0,cluster3
218,MT,29,8,39,3,cluster4
219,AR,42,13,0,0,cluster6
220,AR,31,11,7,6,cluster2
221,NC,30,10,5,0,cluster5
222,WI,34,9,4,3,cluster3
223,MN,30,6,12,9,cluster9
224,NV,35,8,10,3,cluster8
225,KS,36,12,0,3,cluster2
226,MO,38,11,0,0,cluster1
227,WY,27,8,5,3,cluster5
228,CO,20,4,26,3,cluster9
229,MO,39,10,6,3,cluster1
230,MN,33,8,22,6,cluster8
231,OH,35,12,11,6,cluster2
232,TX,35,10,5,3,cluster3
233,CA,23,6,16,9,cluster9
234,AR,38,13,17,3,cluster0
235,UT,28,9,10,3,cluster5
236,MS,42,17,0,3,cluster7
237,OH,34,11,10,24,cluster2
238,NE,35,9,46,3,cluster4
239,GA,40,12,8,3,cluster6
240,KY,38,12,4,3,cluster6
241,WA,33,11,5,3,cluster2
242,AL,40,15,6,0,cluster7
243,TX,38,11,0,3,cluster1
244,VA,30,12,11,3,cluster2
245,ID,36,9,0,3,cluster3
246,OH,37,12,7,3,cluster2
247,WV,35,14,15,3,cluster0
248,KY,38,15,3,3,cluster0
249,KS,41,12,21,6,cluster6
250,MI,37,11,8,0,cluster1
251,NC,32,11,6,3,cluster2
252,CO,31,6,0,0,cluster8
253,GA,36,10,13,3,cluster3
254,MS,40,14,0,3,cluster0
255,WI,31,7,12,6,cluster8
256,VA,36,13,7,0,cluster0
257,NC,40,11,0,0,cluster1
258,KY,35,11,12,6,cluster2
259,OH,37,11,6,3,cluster1
260,OH,41,9,7,0,cluster1
261,MO,34,10,0,3,cluster3
262,MT,28,9,12,3,cluster5
263,GA,36,12,0,0,cluster2
264,WI,32,10,6,3,cluster3
265,TX,37,9,10,0,cluster3
266,NC,44,15,5,0,cluster7
267,GA,35,9,18,0,cluster3
268,IA,35,9,6,3,cluster3
269,OR,32,10,25,3,cluster4
270,OK,39,13,0,3,cluster0
271,WV,34,13,11,12,cluster0
272,IL,36,8,13,6,cluster8
273,ID,34,10,0,3,cluster3
274,OR,39,9,8,3,cluster3
275,IA,33,9,9,0,cluster3
276,KY,45,11,6,0,cluster1
277,GA,38,12,9,3,cluster6
