@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute obesity_rate numeric
@attribute diabetes_rate numeric
@attribute excercise_rate numeric
@attribute no_of_hospitals numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9}

@data
683,KY,42,12,17,3,cluster6
684,WI,36,9,11,6,cluster3
685,NE,32,7,0,3,cluster8
686,MI,41,12,9,3,cluster6
687,AL,46,13,6,3,cluster6
688,IL,37,9,9,6,cluster3
689,PA,35,10,5,3,cluster3
690,KY,38,11,12,3,cluster1
691,TX,40,9,0,0,cluster3
692,FL,40,12,3,3,cluster6
693,IL,34,8,7,6,cluster8
694,ND,35,8,4,0,cluster8
695,OK,37,11,0,6,cluster1
696,NJ,29,8,16,3,cluster5
697,MD,34,12,5,36,cluster2
698,VA,36,10,27,3,cluster4
699,ID,35,12,0,3,cluster2
700,IA,36,9,0,3,cluster3
701,PA,28,8,19,30,cluster5
702,NY,35,10,6,0,cluster3
703,SC,36,12,7,3,cluster2
704,AZ,30,12,6,12,cluster2
705,WA,36,12,10,6,cluster2
706,TN,39,13,5,6,cluster0
707,TN,40,13,0,0,cluster6
708,KY,38,13,0,0,cluster0
709,MN,34,10,25,3,cluster4
710,NY,30,9,8,3,cluster5
711,MO,34,12,7,3,cluster2
712,IA,34,9,0,3,cluster3
713,VA,37,10,15,0,cluster3
714,MI,37,9,4,3,cluster3
715,VA,29,9,13,6,cluster5
716,NY,32,11,0,0,cluster2
717,UT,29,8,9,6,cluster5
718,MS,32,11,17,3,cluster2
719,TN,43,12,0,3,cluster6
720,KS,36,11,0,3,cluster2
721,NE,37,9,0,0,cluster3
722,IL,33,9,7,0,cluster3
723,MN,33,10,7,3,cluster3
724,ME,28,9,21,9,cluster5
725,NY,32,10,11,6,cluster3
726,TX,37,12,6,3,cluster2
727,MS,47,13,0,3,cluster6
728,NE,34,11,0,3,cluster2
729,MO,39,12,5,3,cluster6
730,GA,42,13,0,0,cluster6
731,MN,35,11,6,3,cluster2
732,GA,35,11,0,0,cluster2
733,MD,38,13,12,0,cluster0
734,MN,37,9,21,3,cluster3
735,KS,35,11,6,6,cluster2
736,CO,29,6,0,0,cluster9
737,MO,32,7,12,6,cluster8
738,UT,34,8,16,6,cluster8
739,IA,37,9,18,3,cluster3
740,ND,32,9,9,3,cluster5
741,MA,29,8,20,3,cluster5
742,PA,34,12,9,12,cluster2
743,ND,34,10,0,0,cluster3
744,KY,36,12,11,12,cluster2
745,LA,39,12,11,3,cluster6
746,AZ,36,10,8,3,cluster3
747,VA,33,11,5,0,cluster2
748,IN,34,12,7,0,cluster2
749,OK,42,12,0,3,cluster6
750,SD,38,8,22,6,cluster8
751,MN,34,8,11,6,cluster8
752,NV,28,8,16,9,cluster5
753,KY,42,11,9,3,cluster1
754,VA,42,13,34,3,cluster6
755,MI,36,12,0,3,cluster2
756,IL,34,11,10,6,cluster2
757,CA,23,7,13,21,cluster9
758,ND,33,10,0,0,cluster3
759,VA,30,9,3,0,cluster5
760,KY,45,13,4,3,cluster6
761,GA,42,12,0,0,cluster6
762,TX,27,7,9,33,cluster9
763,NC,42,15,4,3,cluster7
764,TX,36,10,0,0,cluster3
765,IL,38,9,14,0,cluster3
766,IL,33,10,0,3,cluster3
767,MI,37,13,11,0,cluster0
768,NE,33,11,0,6,cluster2
769,AL,38,11,7,3,cluster1
770,TN,32,10,12,9,cluster3
771,IN,43,11,4,3,cluster1
772,PA,36,11,4,3,cluster2
773,TX,36,10,10,6,cluster3
774,NJ,24,9,19,15,cluster5
775,KS,40,11,0,3,cluster1
776,MT,29,8,0,3,cluster5
777,LA,30,10,11,0,cluster5
778,TX,38,10,0,0,cluster1
779,WA,34,9,5,3,cluster3
780,TX,36,10,0,0,cluster3
781,OH,37,11,7,0,cluster1
782,NY,34,10,4,9,cluster3
783,CA,32,9,5,24,cluster5
784,MO,41,11,12,3,cluster1
785,ND,37,10,0,3,cluster3
786,GA,41,11,0,0,cluster1
787,AR,39,12,0,3,cluster6
788,ND,40,12,0,0,cluster6
789,IL,36,10,7,0,cluster3
790,NC,33,9,14,9,cluster5
791,NE,32,8,24,3,cluster5
792,TN,35,12,4,6,cluster2
793,FL,23,7,19,9,cluster9
794,KY,38,11,9,3,cluster1
795,MI,33,10,9,12,cluster3
796,NE,38,7,0,0,cluster8
797,TX,38,11,6,6,cluster1
798,MD,30,9,14,6,cluster5
799,TN,41,12,7,3,cluster6
800,OK,39,13,0,3,cluster0
801,OK,39,12,0,3,cluster6
802,CA,30,10,22,3,cluster5
803,TN,41,13,10,6,cluster6
804,TX,38,10,5,3,cluster1
805,LA,35,13,9,15,cluster0
806,OH,39,12,6,3,cluster6
807,NV,28,9,6,48,cluster5
808,CA,23,8,7,249,cluster5
809,MN,34,9,0,6,cluster3
810,MS,44,14,8,3,cluster7
811,VA,36,11,0,3,cluster2
812,IL,38,11,0,0,cluster1
813,VA,37,13,6,3,cluster0
814,TX,30,9,8,63,cluster5
815,OK,39,13,0,3,cluster0
816,NH,32,9,2,3,cluster3
817,FL,32,13,6,6,cluster2
818,MD,36,10,6,3,cluster3
819,AZ,31,12,7,12,cluster2
820,OR,34,9,9,3,cluster3
821,FL,25,9,13,0,cluster5
822,ID,33,10,13,6,cluster3
823,IL,32,10,5,3,cluster3
824,IA,33,8,4,6,cluster8
825,TN,39,12,4,3,cluster6
826,SC,38,12,4,3,cluster6
827,MO,42,10,4,3,cluster1
828,KY,38,13,0,3,cluster0
829,OR,32,12,11,6,cluster2
830,NC,36,10,12,3,cluster3
831,NE,35,10,0,0,cluster3
832,GA,37,15,0,3,cluster0
833,TN,38,13,3,3,cluster0
834,TN,36,10,9,6,cluster3
835,KY,42,13,0,3,cluster6
836,PA,38,10,7,3,cluster1
837,TX,37,12,7,0,cluster2
838,NE,32,8,18,3,cluster8
839,AR,38,14,0,0,cluster0
840,NC,29,10,11,6,cluster5
841,TN,39,12,0,3,cluster6
842,KY,43,14,0,0,cluster7
843,KY,39,12,11,3,cluster6
844,MT,32,8,0,3,cluster8
845,TX,36,10,8,9,cluster3
846,TX,38,10,0,3,cluster1
847,NY,30,10,4,3,cluster5
848,GA,43,14,0,3,cluster7
849,IN,34,10,8,3,cluster3
850,GA,38,11,5,3,cluster1
851,AR,46,12,0,3,cluster6
852,OH,33,11,10,24,cluster2
853,TX,38,13,0,0,cluster0
854,KS,38,10,11,6,cluster1
855,KS,36,11,0,0,cluster2
856,NV,34,8,19,3,cluster8
857,OH,33,13,12,18,cluster2
858,VT,31,7,0,0,cluster8
859,MO,37,12,3,3,cluster6
860,NE,37,9,0,0,cluster3
861,KY,40,13,21,0,cluster0
862,AL,49,18,0,3,cluster7
863,NC,36,13,0,0,cluster0
864,VA,33,10,8,0,cluster3
865,VA,36,11,8,0,cluster2
866,KS,36,12,0,3,cluster2
867,ID,36,11,0,3,cluster2
868,CA,35,7,11,3,cluster8
869,AL,34,14,2,3,cluster0
870,ND,33,9,13,3,cluster3
871,AZ,30,12,7,12,cluster2
872,KS,38,12,0,0,cluster6
873,FL,30,13,6,0,cluster2
874,AR,42,14,0,3,cluster0
875,TN,36,12,7,3,cluster2
876,NE,34,9,0,3,cluster3
877,MN,35,9,18,6,cluster3
878,AR,33,12,6,0,cluster2
879,UT,32,8,4,6,cluster8
880,IA,34,8,23,3,cluster8
881,NY,35,10,23,3,cluster4
882,AL,35,10,6,3,cluster3
883,OH,42,14,4,3,cluster0
884,MS,45,14,6,3,cluster7
885,LA,44,13,0,0,cluster6
886,KY,37,11,6,3,cluster1
887,NY,33,9,3,3,cluster3
888,NE,36,10,22,3,cluster4
889,MI,37,12,8,6,cluster2
890,VA,34,12,0,3,cluster2
891,PA,39,14,8,6,cluster0
892,TX,36,11,0,0,cluster2
893,NE,35,10,0,3,cluster3
894,NE,34,11,32,3,cluster4
895,CO,26,8,0,0,cluster5
896,IA,38,10,23,3,cluster4
897,NC,31,10,13,6,cluster5
898,NC,37,9,6,3,cluster3
899,AZ,33,10,5,3,cluster3
900,IL,36,11,14,6,cluster2
901,TX,39,10,0,0,cluster1
902,SC,44,13,4,3,cluster6
903,CO,25,5,15,0,cluster9
904,TN,39,11,0,3,cluster1
905,VA,25,7,12,3,cluster9
906,SC,42,13,0,3,cluster6
907,VA,34,12,9,3,cluster2
908,KY,34,10,17,6,cluster3
909,VA,27,7,15,3,cluster9
910,SD,35,9,0,3,cluster3
911,MN,36,7,8,3,cluster8
912,OH,36,12,11,3,cluster2
913,NM,30,7,0,0,cluster8
914,TN,39,12,7,3,cluster6
915,SD,36,10,0,0,cluster3
916,NV,28,9,6,48,cluster5
917,KY,41,12,8,3,cluster6
918,OH,41,12,7,3,cluster6
919,MI,36,10,12,3,cluster3
920,MO,34,11,19,0,cluster2
921,NC,40,12,0,0,cluster6
922,TN,40,11,5,0,cluster1
923,IN,30,9,6,6,cluster5
924,GA,38,11,7,0,cluster1
925,GA,38,12,0,0,cluster6
926,TN,39,11,5,3,cluster1
927,MO,40,12,0,3,cluster6
928,GA,40,12,0,3,cluster6
929,CA,25,8,10,6,cluster9
930,VT,26,8,21,6,cluster9
931,LA,40,13,9,9,cluster0
932,PA,37,9,4,3,cluster3
933,NE,32,10,0,3,cluster3
934,CO,26,8,0,0,cluster5
935,MT,34,10,34,6,cluster4
936,MO,38,12,0,0,cluster6
937,TX,34,9,14,3,cluster3
938,GA,33,13,6,0,cluster2
939,TX,31,10,9,12,cluster5
940,LA,38,12,9,15,cluster6
941,WI,37,9,9,9,cluster3
942,FL,24,12,10,6,cluster2
943,GA,37,10,10,6,cluster3
944,LA,38,11,13,0,cluster1
945,MN,29,8,8,3,cluster5
946,SD,34,8,42,0,cluster4
947,WI,34,10,0,0,cluster3
948,PA,36,13,4,6,cluster0
949,VA,39,9,5,0,cluster3
950,HI,36,12,0,0,cluster2
951,TX,38,12,5,0,cluster6
952,IA,38,11,27,3,cluster4
953,IL,33,10,16,3,cluster3
954,TX,30,8,9,15,cluster5
955,OR,32,11,25,3,cluster4
956,TX,35,12,11,0,cluster2
957,MO,41,11,10,0,cluster1
958,ME,38,12,8,6,cluster6
959,MI,35,10,17,0,cluster3
960,GA,38,10,0,0,cluster1
961,MN,34,8,8,6,cluster8
962,SD,33,11,43,0,cluster4
963,AR,45,14,7,6,cluster7
964,MS,43,14,11,3,cluster7
965,TX,33,11,14,0,cluster2
966,IL,36,10,15,6,cluster3
967,NE,34,11,0,6,cluster2
968,TX,35,12,0,3,cluster2
969,ID,29,9,27,3,cluster5
970,NC,34,11,15,3,cluster2
971,WY,29,6,12,0,cluster9
972,IN,38,12,16,3,cluster6
973,TX,37,10,0,3,cluster3
974,GA,27,9,12,9,cluster5
975,MI,37,10,16,3,cluster3
976,VA,38,12,9,6,cluster6
977,SD,32,7,11,15,cluster8
978,MN,34,10,0,6,cluster3
979,ND,35,10,19,3,cluster3
980,ND,36,10,0,3,cluster3
981,SD,36,8,0,0,cluster8
982,GA,35,9,8,3,cluster3
983,WY,27,9,12,6,cluster5
984,MS,40,13,0,3,cluster6
985,KS,35,10,32,0,cluster4
986,AR,32,11,10,9,cluster2
987,MI,33,9,13,3,cluster3
988,GA,37,10,0,3,cluster3
989,NY,35,10,7,3,cluster3
990,TX,38,10,0,0,cluster1
991,TN,37,12,7,21,cluster2
992,WV,36,13,12,3,cluster0
993,AL,40,13,6,3,cluster6
994,WI,35,8,9,6,cluster8
995,NE,36,10,9,3,cluster3
996,SD,39,9,0,0,cluster3
997,TN,40,13,3,6,cluster6
998,CO,26,6,0,0,cluster9
999,MN,33,6,9,6,cluster8
1000,UT,27,6,5,15,cluster9
1001,ID,34,9,9,0,cluster3
1002,AL,50,18,0,3,cluster7
1003,TX,34,12,0,3,cluster2
1004,IL,36,10,17,3,cluster3
1005,NH,33,10,12,9,cluster3
1006,VA,32,10,5,3,cluster3
1007,MS,36,10,8,3,cluster3
1008,TX,35,10,9,0,cluster3
1009,OR,35,10,0,0,cluster3
1010,VA,36,12,0,0,cluster2
1011,GA,32,11,11,3,cluster2
1012,OH,36,12,12,3,cluster2
1013,NC,27,9,8,3,cluster5
1014,IA,37,9,16,3,cluster3
1015,OH,38,10,0,3,cluster1
1016,KS,35,10,0,3,cluster3
1017,VT,26,8,18,6,cluster9
1018,TN,42,13,9,3,cluster6
1019,WA,30,10,9,6,cluster5
1020,KS,42,11,0,0,cluster1
1021,MN,29,8,9,3,cluster5
1022,MS,39,13,4,3,cluster0
1023,GA,38,12,0,0,cluster6
1024,CA,32,9,5,24,cluster5
1025,AR,39,11,3,0,cluster1
1026,ND,37,11,16,3,cluster2
1027,OK,36,13,0,3,cluster0
1028,MS,42,14,0,3,cluster0
1029,FL,29,11,8,9,cluster2
1030,NC,45,15,5,3,cluster7
1031,PA,36,11,9,6,cluster2
1032,AR,42,14,6,3,cluster0
1033,NE,32,8,10,3,cluster8
1034,SD,34,8,18,6,cluster8
1035,NC,36,10,8,0,cluster3
1036,IA,35,10,0,3,cluster3
1037,NE,34,9,9,3,cluster3
1038,TX,37,10,0,3,cluster3
1039,MN,34,9,6,3,cluster3
1040,KY,42,12,0,0,cluster6
1041,LA,43,13,4,3,cluster6
1042,UT,30,7,11,0,cluster8
1043,NY,27,8,14,33,cluster5
1044,MI,37,11,12,3,cluster1
1045,VA,36,9,13,0,cluster3
1046,PA,38,9,10,6,cluster3
1047,SD,33,8,0,3,cluster8
1048,MO,34,9,4,3,cluster3
1049,ID,37,10,0,0,cluster3
1050,IA,32,9,16,3,cluster5
1051,MO,36,11,0,0,cluster2
1052,MO,39,11,5,3,cluster1
1053,OH,41,12,0,3,cluster6
1054,GA,33,10,6,3,cluster3
1055,NE,31,9,0,0,cluster5
1056,MT,28,9,11,3,cluster5
1057,AL,42,12,5,0,cluster6
1058,KY,41,13,0,0,cluster6
1059,OH,36,11,6,0,cluster2
1060,VA,38,10,9,9,cluster1
1061,MO,42,11,9,3,cluster1
1062,AR,42,13,5,6,cluster6
1063,OR,38,9,8,6,cluster3
1064,TX,34,11,44,0,cluster4
1065,GA,39,13,12,3,cluster0
1066,TN,39,12,0,0,cluster6
1067,SC,41,16,6,3,cluster7
1068,TX,36,10,0,0,cluster3
1069,IA,38,8,0,3,cluster8
1070,TX,35,9,0,0,cluster3
1071,GA,40,13,0,3,cluster6
1072,KY,40,11,9,0,cluster1
1073,MS,37,12,8,3,cluster2
1074,GA,36,11,14,0,cluster2
1075,KS,42,11,0,3,cluster1
1076,ND,37,9,61,0,cluster4
1077,WY,35,7,13,3,cluster8
1078,GA,38,11,8,3,cluster1
1079,KS,37,13,0,3,cluster0
1080,AL,33,12,8,15,cluster2
1081,TX,38,10,0,3,cluster1
1082,MT,34,9,0,3,cluster3
1083,GA,34,9,4,3,cluster3
1084,OH,30,10,14,3,cluster5
1085,LA,40,13,3,0,cluster6
1086,LA,39,14,5,0,cluster0
1087,NE,32,7,0,3,cluster8
1088,MO,36,9,4,0,cluster3
1089,IL,33,10,8,0,cluster3
1090,AR,38,13,16,3,cluster0
1091,CO,26,6,14,3,cluster9
1092,SD,36,10,0,0,cluster3
1093,ME,25,9,14,6,cluster5
1094,NC,39,12,8,3,cluster6
1095,OK,40,11,0,3,cluster1
1096,HI,23,9,6,9,cluster5
1097,SD,39,8,0,3,cluster8
1098,OR,33,9,9,6,cluster3
1099,MS,44,17,0,3,cluster7
1100,TX,35,12,0,0,cluster2
1101,VA,31,10,8,3,cluster5
1102,IL,39,10,18,6,cluster1
1103,NE,35,11,0,3,cluster2
1104,NJ,28,10,10,21,cluster5
1105,WI,36,9,10,0,cluster3
1106,IL,38,10,0,3,cluster1
1107,IN,39,12,9,3,cluster6
1108,NV,39,13,0,3,cluster0
1109,TX,35,12,0,3,cluster2
1110,CO,23,6,0,0,cluster9
1111,MO,40,9,4,0,cluster3
1112,MT,31,8,33,3,cluster4
1113,MO,34,11,0,3,cluster2
1114,SC,38,14,5,9,cluster0
1115,TX,34,10,0,0,cluster3
1116,IN,41,11,12,3,cluster1
1117,MI,36,11,0,3,cluster2
1118,TX,36,11,0,3,cluster2
1119,OH,34,11,12,3,cluster2
1120,WI,34,8,9,3,cluster8
1121,GA,38,12,8,3,cluster6
1122,NV,35,8,11,3,cluster8
1123,TX,36,10,0,3,cluster3
1124,MI,37,10,4,3,cluster3
1125,TX,32,11,4,3,cluster2
1126,TN,36,11,9,6,cluster2
1127,TN,42,13,5,3,cluster6
1128,MI,35,9,14,3,cluster3
1129,FL,31,9,11,6,cluster5
1130,GA,41,13,0,3,cluster6
1131,WV,38,14,3,3,cluster0
1132,ID,37,11,0,3,cluster1
1133,AK,33,7,19,9,cluster8
1134,NE,37,10,0,0,cluster3
1135,IL,33,10,15,6,cluster3
1136,MO,43,11,0,3,cluster1
1137,TN,41,11,0,3,cluster1
1138,WY,31,9,17,6,cluster5
1139,MA,24,7,13,6,cluster9
1140,MN,33,8,21,3,cluster8
1141,SC,44,15,6,3,cluster7
1142,LA,34,12,13,3,cluster2
1143,CA,31,8,10,24,cluster5
1144,MO,40,10,11,0,cluster1
1145,NC,34,12,5,3,cluster2
1146,OK,29,10,13,36,cluster5
1147,WI,35,9,6,3,cluster3
1148,IN,32,9,9,3,cluster5
1149,IL,38,10,0,3,cluster1
1150,OH,31,11,13,12,cluster2
1151,TX,36,11,6,6,cluster2
1152,IN,35,11,5,3,cluster2
1153,MS,37,13,9,3,cluster0
1154,CO,31,6,0,0,cluster8
1155,MO,35,10,0,3,cluster3
1156,KS,30,6,7,3,cluster9
1157,MO,39,12,0,3,cluster6
1158,IN,36,9,15,3,cluster3
1159,NJ,23,7,14,3,cluster9
1160,LA,43,13,0,3,cluster6
1161,IL,37,11,18,3,cluster2
1162,FL,24,11,10,6,cluster5
1163,IL,37,8,5,0,cluster8
1164,WI,34,8,9,3,cluster8
1165,OK,40,12,0,6,cluster6
1166,NY,33,11,0,0,cluster2
1167,CA,32,9,13,3,cluster5
1168,AR,31,9,10,9,cluster5
1169,MI,38,10,7,0,cluster1
1170,WI,35,9,20,0,cluster3
1171,MO,35,12,5,6,cluster2
1172,GA,37,13,4,3,cluster0
1173,SD,36,9,0,0,cluster3
1174,KY,45,16,0,3,cluster7
1175,IA,36,9,0,0,cluster3
1176,TX,37,12,0,3,cluster6
1177,TX,37,10,0,3,cluster3
1178,TN,37,11,0,3,cluster1
1179,AL,35,10,5,3,cluster3
1180,TN,38,12,0,0,cluster6
1181,MS,47,15,0,0,cluster7
1182,AR,35,12,9,3,cluster2
1183,NJ,25,7,23,3,cluster9
1184,WV,39,13,6,3,cluster0
1185,MN,34,8,22,6,cluster8
1186,KS,35,12,0,6,cluster2
1187,PA,37,12,0,0,cluster6
1188,ND,38,11,0,0,cluster1
1189,TX,33,11,7,0,cluster2
1190,WV,39,16,0,0,cluster7
1191,RI,23,6,10,0,cluster9
1192,MN,33,8,11,0,cluster8
1193,WV,42,12,0,3,cluster6
1194,SC,30,12,11,9,cluster2
1195,IA,38,9,0,3,cluster3
1196,MI,34,11,11,6,cluster2
1197,UT,36,9,0,0,cluster3
1198,KS,42,11,0,3,cluster1
1199,AK,40,8,0,0,cluster8
1200,WV,33,9,11,6,cluster3
1201,MN,33,8,9,3,cluster8
1202,VA,33,12,19,0,cluster2
1203,IL,34,10,11,3,cluster3
1204,TX,39,10,0,0,cluster1
1205,VA,33,9,16,6,cluster5
1206,IN,33,10,8,0,cluster3
1207,NC,43,15,4,6,cluster7
1208,LA,44,13,0,0,cluster6
1209,OH,35,13,12,3,cluster0
1210,NE,35,11,0,3,cluster2
1211,MN,35,9,0,3,cluster3
1212,AR,42,14,4,3,cluster0
1213,AR,39,12,0,0,cluster6
1214,AL,43,17,0,6,cluster7
1215,MO,38,10,8,3,cluster1
1216,ND,34,10,13,3,cluster3
1217,VA,38,11,0,0,cluster1
1218,IN,37,10,12,3,cluster3
1219,AR,35,12,15,3,cluster2
1220,MN,35,9,10,3,cluster3
1221,GA,34,10,18,0,cluster3
1222,AK,31,6,19,3,cluster9
1223,OH,37,11,12,3,cluster1
1224,WA,29,8,0,3,cluster5
1225,UT,26,7,7,30,cluster9
1226,MI,38,12,17,0,cluster6
1227,IA,34,8,14,3,cluster8
1228,ND,33,10,51,3,cluster4
1229,OR,36,9,6,3,cluster3
1230,OK,33,9,10,6,cluster3
1231,MO,36,10,8,3,cluster3
1232,AR,41,13,0,0,cluster6
1233,TN,40,13,5,3,cluster6
1234,TX,39,11,0,0,cluster1
1235,MO,31,9,15,0,cluster5
1236,LA,35,10,10,0,cluster3
1237,OK,36,11,10,6,cluster2
1238,KS,34,9,9,6,cluster3
1239,SD,36,10,0,0,cluster3
1240,GA,34,10,9,6,cluster3
1241,SD,36,10,0,3,cluster3
1242,CO,21,5,9,6,cluster9
1243,OH,39,12,7,3,cluster6
1244,AK,41,8,0,0,cluster8
1245,AK,39,8,0,0,cluster8
1246,TX,38,11,6,6,cluster1
1247,MN,35,10,0,3,cluster3
1248,MO,35,10,8,3,cluster3
1249,FL,28,11,10,12,cluster2
1250,IL,27,7,12,18,cluster9
1251,UT,27,5,7,6,cluster9
1252,CA,33,8,11,3,cluster8
1253,PA,34,10,10,3,cluster3
1254,ME,30,11,3,6,cluster2
1255,CO,25,7,9,9,cluster9
1256,MI,39,10,8,9,cluster1
1257,AL,43,15,7,3,cluster7
1258,VA,35,11,12,0,cluster2
1259,KS,33,9,10,3,cluster3
1260,VA,35,10,11,3,cluster3
1261,MN,36,7,8,3,cluster8
1262,MN,39,9,16,3,cluster3
1263,NY,35,8,5,3,cluster8
1264,NE,40,11,0,0,cluster1
1265,TN,40,11,10,3,cluster1
1266,NY,34,8,10,3,cluster8
1267,OK,31,11,10,54,cluster2
1268,IA,41,9,0,0,cluster1
1269,SD,31,5,7,3,cluster9
1270,NY,34,8,18,3,cluster8
1271,ND,40,9,0,0,cluster3
1272,FL,29,10,13,3,cluster5
1273,OK,33,9,9,6,cluster3
1274,VA,33,12,0,0,cluster2
1275,TX,37,12,0,0,cluster6
1276,GA,38,11,9,3,cluster1
1277,KS,40,11,8,3,cluster1
1278,KY,36,10,7,3,cluster3
1279,IN,36,10,16,18,cluster3
1280,SC,30,10,12,18,cluster5
1281,KY,40,12,5,3,cluster6
1282,IL,32,10,0,0,cluster3
1283,AR,40,11,17,3,cluster1
1284,TX,35,11,5,9,cluster2
1285,CA,21,6,15,9,cluster9
1286,NE,36,11,0,0,cluster2
1287,UT,30,7,4,3,cluster8
1288,IN,34,11,9,0,cluster2
1289,NC,31,10,15,6,cluster5
1290,CA,26,7,7,12,cluster9
1291,MN,36,7,10,3,cluster8
1292,SD,38,9,0,0,cluster3
1293,AL,30,11,12,9,cluster2
1294,MO,40,11,50,0,cluster4
1295,UT,32,8,38,0,cluster4
1296,IL,31,10,14,6,cluster5
1297,KS,35,11,0,3,cluster2
1298,OH,40,12,10,3,cluster6
1299,NE,40,10,0,0,cluster1
1300,UT,32,10,0,0,cluster3
1301,VA,38,13,0,0,cluster0
1302,GA,40,14,0,3,cluster0
1303,KY,38,14,0,0,cluster0
1304,GA,35,10,9,3,cluster3
1305,IL,32,8,9,15,cluster8
1306,NC,37,9,8,3,cluster3
1307,KY,41,14,0,6,cluster0
1308,IL,37,10,0,0,cluster3
1309,GA,37,9,0,0,cluster3
1310,IL,39,9,26,3,cluster4
1311,VA,43,14,0,0,cluster7
1312,TN,38,12,4,3,cluster6
1313,FL,39,12,0,3,cluster6
1314,FL,31,11,10,9,cluster2
1315,MT,28,9,11,3,cluster5
1316,IL,33,10,14,0,cluster3
1317,SC,38,11,6,3,cluster1
1318,IA,38,10,13,3,cluster1
1319,KY,41,13,0,3,cluster6
1320,CO,21,6,11,9,cluster9
1321,FL,24,10,11,39,cluster5
1322,KY,38,15,0,3,cluster0
1323,TX,37,10,14,3,cluster3
1324,NC,40,12,4,3,cluster6
1325,MS,41,16,0,6,cluster7
1326,ID,33,11,20,3,cluster2
1327,KY,40,12,0,0,cluster6
1328,OK,38,10,5,3,cluster1
1329,MA,20,9,21,6,cluster9
1330,NH,31,9,12,3,cluster5
1331,IL,32,9,12,0,cluster5
1332,FL,42,14,0,0,cluster0
1333,MI,39,13,7,9,cluster0
1334,MO,38,11,0,0,cluster1
1335,AK,43,7,0,0,cluster8
1336,AL,41,14,0,3,cluster0
1337,IA,34,8,17,3,cluster8
1338,WI,35,9,4,6,cluster3
1339,IA,35,10,0,3,cluster3
1340,OR,38,10,0,3,cluster1
1341,MO,33,10,11,6,cluster3
1342,VA,37,14,0,3,cluster0
1343,VA,35,10,10,3,cluster3
1344,MO,37,12,13,3,cluster2
1345,NE,33,10,0,3,cluster3
1346,WI,34,9,3,6,cluster3
1347,VT,30,8,3,3,cluster5
1348,TN,40,10,3,3,cluster1
1349,TN,37,13,9,3,cluster0
1350,OH,35,12,10,3,cluster2
1351,MN,33,9,18,3,cluster5
1352,MD,37,11,12,3,cluster1
1353,IN,37,10,5,9,cluster3
1354,TN,38,10,7,3,cluster1
1355,KY,41,14,0,0,cluster0
1356,TX,37,12,0,0,cluster6
1357,LA,38,12,0,6,cluster6
1358,NY,32,9,14,9,cluster5
1359,KY,38,12,14,0,cluster6
1360,TX,35,10,11,6,cluster3
1361,GA,42,14,0,0,cluster0
1362,MN,40,9,0,0,cluster3
1363,SD,36,10,0,0,cluster3
1364,KY,40,11,9,0,cluster1
1365,NE,34,10,0,0,cluster3
1366,MI,36,13,4,3,cluster0
1367,AK,38,8,0,0,cluster8
1368,NM,27,8,3,3,cluster5
1369,ND,35,10,0,0,cluster3
1370,ID,36,8,0,3,cluster8
1371,NE,32,8,15,3,cluster8
1372,TX,37,11,0,3,cluster1
1373,TX,35,12,0,0,cluster2
1374,IA,36,9,5,3,cluster3
1375,MN,32,9,10,0,cluster5
1376,NC,37,13,5,3,cluster0
1377,MN,33,9,12,6,cluster3
1378,GA,38,13,0,0,cluster0
1379,KY,33,9,14,12,cluster5
1380,IN,34,10,4,6,cluster3
1381,IA,34,8,5,3,cluster8
1382,ND,36,10,0,3,cluster3
1383,GA,36,11,0,0,cluster2
1384,MS,36,13,10,3,cluster0
1385,TN,42,12,0,0,cluster6
1386,NM,32,8,0,0,cluster8
1387,IL,32,9,6,3,cluster3
1388,AR,37,13,11,3,cluster0
1389,TX,35,11,0,0,cluster2
1390,NY,36,9,13,3,cluster3
1391,WI,36,8,12,3,cluster8
1392,TX,36,11,6,3,cluster2
1393,IN,36,10,7,3,cluster3
1394,SD,37,8,30,0,cluster4
1395,KS,37,11,22,6,cluster2
1396,WI,33,9,15,6,cluster5
1397,PA,33,13,5,6,cluster2
1398,RI,24,7,16,3,cluster9
1399,GA,41,12,0,3,cluster6
1400,MS,43,16,0,3,cluster7
1401,CO,19,4,18,3,cluster9
1402,SC,47,16,6,0,cluster7
1403,IA,35,10,16,3,cluster3
1404,CO,30,7,14,6,cluster8
1405,OH,37,10,11,12,cluster3
1406,KY,38,14,4,3,cluster0
1407,TX,37,11,0,0,cluster1
1408,KS,35,10,9,6,cluster3
1409,TX,38,12,0,3,cluster6
1410,NY,28,8,13,33,cluster5
1411,WA,40,12,7,3,cluster6
1412,GA,41,14,0,0,cluster0
1413,NY,33,10,10,9,cluster3
1414,TX,37,11,0,3,cluster1
1415,WY,32,7,9,3,cluster8
1416,ND,33,9,0,0,cluster3
1417,MS,44,16,0,3,cluster7
