@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,3_clustered'

@attribute Instance_number numeric
@attribute state {SC,LA,VA,ID,IA,KY,MO,OK,CO,IL,IN,MS,ND,NE,OH,PA,WA,WI,VT,MN,FL,NC,CA,NY,WY,MI,AK,MD,KS,TN,TX,ME,AZ,GA,AR,NJ,SD,AL,OR,WV,MA,UT,MT,NH,NM,RI,NV,DC,CT,HI,DE}
@attribute African_American numeric
@attribute American_Alaskan_Native numeric
@attribute asian numeric
@attribute hispanic numeric
@attribute pacific_highlander numeric
@attribute 18_younger numeric
@attribute senior_citizen numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14}

@data
322,UT,0.53,1.71,0.8,10.01,0.85,30.06,17.57,cluster1
323,MD,9.82,0.29,1.5,3.62,0.07,22.62,14.45,cluster1
324,CA,1.55,1.11,18.43,34.12,0.39,24.12,11.9,cluster8
325,AZ,4,3.6,2.7,33.7,0.2,23.4,15.1,cluster13
326,MD,16.91,0.7,14.5,17.51,0.1,23.52,12.9,cluster8
327,PA,5.45,0.11,0.49,1.65,0.01,19.73,16.48,cluster7
328,PA,0.7,0.2,0.5,2.2,0.2,23.3,17.2,cluster7
329,GA,25.4,1.2,2.4,12.2,0.6,23,2.6,cluster12
330,VA,2.2,0.2,0.2,1.3,0,20.7,17.7,cluster7
331,MI,3.07,2.17,0.34,2.73,0.07,18.66,21.09,cluster3
332,CO,0.2,0.4,0.1,21.3,0,27,16.7,cluster13
333,NM,1,2.8,0.4,30.1,0.1,20.2,20.7,cluster13
334,TX,6.93,1.2,0.44,10.24,0.05,22.13,17.22,cluster7
335,LA,48.9,0.1,0.1,1.3,0,26.7,12.6,cluster0
336,WI,0.62,0.4,2.69,1.51,0.04,19.9,13.32,cluster4
337,LA,14.32,0.39,2.08,2.54,0.01,26.41,13.34,cluster12
338,IL,7.1,0.4,6,19.6,0.1,27.5,10.2,cluster10
339,KY,5.3,0.2,0.1,1.4,0,24.1,14.2,cluster1
340,KY,0.29,0.35,0.17,1.39,0.05,20.27,19.13,cluster3
341,VA,18.5,0.4,0.4,1.5,0,22,14.8,cluster12
342,CA,2.73,1.15,5.8,15.73,0.26,20.55,17.37,cluster13
343,LA,21.4,0.3,0.9,4.4,0,28.6,8.5,cluster12
344,MO,0.31,0.5,0.31,1.52,0.06,24.24,16.74,cluster1
345,GA,23.35,0.59,0.68,2.75,0.01,24.11,16.79,cluster12
346,ND,0.2,7.1,0.2,1.3,0,19.8,21.3,cluster3
347,LA,31.93,0.41,2.57,3.3,0.04,26.9,12.82,cluster5
348,NC,5.35,0.4,1.04,4.42,0.04,21.82,16.91,cluster7
349,LA,42.08,0.45,0.23,1.68,0,22.92,18.88,cluster5
350,IN,1.7,0.4,0.9,11.8,0.1,25.9,14.5,cluster1
351,ID,0.76,3.34,1.41,7.03,0.28,27.06,11.4,cluster10
352,ID,0.1,0.2,0.1,5.7,0.2,28.3,15,cluster1
353,MS,19.69,0.57,0.34,1.53,0.03,23.73,12.59,cluster12
354,IA,0.83,0.09,0.82,1.12,0.01,21.97,17.77,cluster7
355,IA,0.3,0.2,0.3,2.6,0,21.3,21.8,cluster3
356,WI,2.69,0.46,0.55,4.05,0.05,21.23,15.73,cluster7
357,KS,1.61,0.84,0.78,10.76,0.05,25.2,17.44,cluster1
358,IA,0.11,0.11,0.23,2.1,0.01,27.43,16.83,cluster1
359,VA,13.03,1.23,9.16,33.46,0.26,28.87,5.13,cluster2
360,MT,1.25,4.49,0.82,3.5,0.11,22.56,16.14,cluster7
361,MO,0.62,0.8,0.24,19.06,0.24,23.65,18.15,cluster13
362,MO,0.9,0.6,0.1,1.7,0,23.2,16.1,cluster7
363,VA,4.72,0.24,0.56,3.26,0.04,19.4,19.52,cluster3
364,MO,9.86,0.34,0.35,5.7,0.04,25.75,16.71,cluster1
365,MT,0.2,1.2,0.3,3.1,0,22.8,16.4,cluster7
366,WI,1.32,0.33,2.86,4.27,0.03,23.5,14.73,cluster1
367,ID,0.1,0.4,0.2,3,0.1,28.8,16.3,cluster1
368,MT,0.24,0.48,0.24,0.56,0,24.22,20.14,cluster7
369,ND,0.34,0.46,0.21,0.46,0,18.25,27.23,cluster14
370,KY,2.19,0.11,0.06,2.64,0.03,22.78,17.66,cluster7
371,LA,22.5,0.38,1.01,4.83,0.09,28.35,9.08,cluster12
372,NM,1.8,1.6,1.4,77.3,0,19,16.3,cluster6
373,OK,0.4,6.21,0.71,5.73,0.02,24.55,19.44,cluster7
374,ND,1.2,0.6,0.1,1,0,23,19.1,cluster7
375,NC,8.4,0.52,3.68,8.38,0.05,23.15,15.38,cluster1
376,VT,0.9,0.3,1,1.7,0,19.5,16,cluster7
377,CA,1.66,1.83,7.18,40.92,0.27,25.29,12.04,cluster2
378,IL,1.4,0.3,0.7,1.6,0,23.2,15.7,cluster1
379,VA,2.87,0.15,0.49,1,0.02,20.35,18.68,cluster7
380,OK,1.35,34.48,0.68,6.36,0.04,23.66,14.36,cluster11
381,KS,0.56,0.77,0.28,14.77,0,30.33,12.24,cluster10
382,TX,24.71,0.97,0.37,21.47,0.12,21.73,16.3,cluster12
383,IN,0.81,0.12,0.22,2.08,0.02,25.38,13.82,cluster1
384,TX,8.46,0.9,6.8,18.73,0.09,27.27,7.36,cluster10
385,NH,0.9,0.2,1.7,2.2,0,22.9,12.6,cluster1
386,MT,0,0.43,0.52,1.38,0,17.08,27.87,cluster14
387,NE,0.3,1,0.1,5.1,0,21.8,23.3,cluster3
388,MO,0.36,0.63,0.35,1.84,0.03,18.14,25.52,cluster14
389,FL,18,0.4,1.7,15.9,0.1,22.6,20.4,cluster12
390,KY,0.77,0.35,0.08,1.19,0.01,23.24,17.33,cluster7
391,MD,27.46,0.44,1,3.77,0.03,21.65,17.89,cluster12
392,WA,0.43,1.78,0.92,5.3,0.1,21.18,15.95,cluster7
393,MN,0.1,0.4,0.4,1.6,0,21.7,23.3,cluster3
394,OK,2.1,12.3,0.7,4.6,0,23.4,15.1,cluster11
395,VA,17.43,0.55,1.22,3.75,0.07,26.55,11.02,cluster12
396,GA,22.21,0.08,0.98,3.74,0,28.14,14.47,cluster12
397,ND,0.32,11.91,0.37,1.66,0,20.54,15.4,cluster7
398,NY,4.7,0.2,3.3,2.7,0,20.4,16.7,cluster7
399,OK,1.59,10.34,0.26,14.66,0.05,24.17,20.05,cluster13
400,NC,4.91,0.59,0.59,4.7,0.07,21.74,16.61,cluster7
401,PA,2.46,0.25,0.47,1.83,0.01,20.88,17.01,cluster7
402,SC,60.58,0.36,0.5,1.76,0.04,21.92,16.62,cluster0
403,GA,21.92,0.5,0.37,4.12,0.01,24.58,13.4,cluster12
404,SC,27.2,0.3,0.1,16.4,0.5,23.3,15.3,cluster12
405,GA,39.81,0.48,0.6,4.49,0.25,26.58,15.5,cluster5
406,TX,2.34,0.92,0.45,21.25,0.02,23.43,18.12,cluster13
407,NC,32.67,9.55,1.26,12.6,0.37,30.04,7.35,cluster5
408,ND,0.2,1.8,0.5,0.9,0,21.1,15.2,cluster7
409,AZ,1.74,14.48,0.61,30.85,0.21,27.78,11.85,cluster2
410,OH,2.59,0.25,2.74,1.29,0.04,26.94,9.65,cluster10
411,MS,47.4,0.3,0.9,1.6,0,27.7,12.3,cluster5
412,OR,0.96,2.49,2.11,24.66,0.8,26.04,13.64,cluster13
413,VA,8.4,0.5,8.6,17.1,0.1,16.5,8.6,cluster4
414,WI,0.29,1.05,0.39,1.59,0.01,23.22,16.56,cluster7
415,SD,0.09,0.59,0.36,0.89,0.06,31.99,13.86,cluster10
416,OH,0.54,0.18,0.32,1.29,0.02,24.69,17.11,cluster1
417,KS,0.33,1.21,0.27,3.3,0,21.91,22.71,cluster3
418,GA,43.1,0.3,1.3,1.5,0,20.1,11.8,cluster5
419,WI,0.29,0.46,0.51,1.15,0.39,18.12,22.37,cluster3
420,TX,1.79,0.5,0.82,87.22,0.07,25.73,12.14,cluster6
421,IA,0.26,0.29,0.25,2.03,0.38,22.44,20.97,cluster3
422,NE,0.09,0.47,0.2,1.43,0.03,21.01,22.97,cluster3
423,LA,29.4,0.3,0.3,1.4,0,27.6,12.3,cluster5
424,SD,0.3,2.3,0.1,5.5,0,25.7,19.7,cluster7
425,KY,1.59,0.31,0.22,0.84,0.01,21.77,16.67,cluster7
426,LA,5.85,0.45,0.54,3.14,0.02,27.13,10.3,cluster10
427,FL,10.88,0.72,2.09,5.06,0.11,21.7,14.83,cluster4
428,IL,1.23,0.29,0.8,2.02,0.03,23.21,15.69,cluster1
429,MI,0.4,0.53,0.34,3.52,0.01,22.7,18.66,cluster7
430,VA,8.02,0.24,2.59,2.41,0.03,12.49,8.69,cluster4
431,WV,3.66,0.14,0.83,0.88,0.02,19.14,18.97,cluster3
432,SD,0.58,2.57,0.51,1.72,0.08,23.14,17.03,cluster7
433,SD,0.2,9.53,0.3,6.87,0,22.04,19.08,cluster7
434,WI,1.02,1.77,3.13,3.73,0.05,24.45,12.38,cluster1
435,TX,3.39,0.94,0.3,53.91,0.03,28.87,17.61,cluster2
436,VA,24.38,0.41,0.88,2.04,0.05,22.08,15.38,cluster12
437,IL,4.2,0.2,0.4,2.4,0,22.7,15.1,cluster1
438,NC,0.54,0.29,0.41,4.74,0.04,18.65,21.99,cluster3
439,GA,32.2,0.3,0.5,5.2,0.1,21.9,14.5,cluster5
440,GA,49.06,0.4,0.35,1.85,0.02,26.07,16.85,cluster0
441,ID,0.16,0.84,0.5,2.34,0.12,20.7,19.29,cluster3
442,KY,0.7,0.1,0.5,0.8,0,22,13.4,cluster1
443,WY,0.3,0.7,0.7,4.6,0,21,17.2,cluster7
444,MD,12.79,0.25,1.33,5.7,0.11,19.02,25.48,cluster14
445,VA,19.96,0.26,0.27,1.13,0.03,21.96,18.12,cluster12
446,NC,3.4,0.3,0.5,3.8,0,20.7,15.1,cluster7
447,AR,5.1,0.5,0.7,2.8,0,24.2,12.9,cluster1
448,MS,51.7,0.1,0.2,1.9,0,26,12.9,cluster0
449,TN,0.7,0.2,0.2,1,0,23.2,13.6,cluster1
450,OK,1.2,16,0.2,2.7,0.1,23.4,18.5,cluster11
451,WA,1.73,1.33,1.43,20.23,0.32,22.24,15.65,cluster13
452,TX,7.8,1,0.3,37.7,0,26.3,17.2,cluster2
453,VA,13.84,1.09,5.29,31.49,0.18,28.05,7.02,cluster2
454,IN,0.74,0.21,0.44,1.01,0.07,24.45,13.52,cluster1
455,LA,41.34,0.35,0.41,1.66,0.02,27.35,14.17,cluster5
456,VA,21.71,0.33,0.47,4.92,0.02,20.31,20.67,cluster12
457,MI,0.36,0.61,0.55,1.12,0.03,20.23,19.49,cluster3
458,TX,2,1.2,0.2,44.6,0,31,12.4,cluster2
459,PA,12.9,0.3,2.5,1.5,0.1,19.9,16.8,cluster4
460,NC,17.5,0.8,1.9,7.3,0.2,23.6,7.1,cluster12
461,LA,51.3,0.1,0.2,1.9,0,24,13.5,cluster0
462,IA,1.26,0.17,1.46,2.16,0.04,23.49,20.17,cluster7
463,NJ,15.1,0.7,4.9,35.8,0.2,25.3,12.4,cluster2
464,AR,0.11,1.16,0.3,1.55,0.01,20.27,22.56,cluster3
465,TX,4.08,1.87,0.92,29.36,0.08,18.9,20.19,cluster13
466,NE,0.2,0.6,0.2,9.6,0,25.1,20.3,cluster7
467,MA,4.4,0.2,8.8,5.9,0.1,21.3,12.9,cluster4
468,AR,6.43,2.15,4.22,12.64,0.17,25.14,13.31,cluster10
469,MI,4.8,0.6,0.6,4.9,0,21.4,14.3,cluster7
470,PA,1.08,0.2,0.14,0.88,0.01,22.63,17.72,cluster7
471,CO,1.27,0.89,6.09,11.63,0.11,24.85,10.44,cluster10
472,VA,2.69,0.12,0.24,0.44,0.01,18.16,18.13,cluster7
473,GA,35.1,0.21,0.56,3.74,0.02,19.83,14.81,cluster5
474,GA,27.41,0.37,0.82,10.41,0.06,25.34,11.27,cluster12
475,IL,35.32,0.39,0.39,2.01,0.12,22.43,17.82,cluster5
476,MT,0.21,21.32,0.36,1.8,0.1,25.65,17.94,cluster11
477,MO,0.31,0.4,0.08,1.15,0.04,25.5,18.07,cluster1
478,GA,4.1,0.56,1.09,14.23,0.41,26.66,11.98,cluster10
479,CA,2.62,0.9,25.91,25.43,1.6,21.82,14.03,cluster8
480,MI,5.2,0.9,0.7,3,0,22.5,14.3,cluster1
481,VA,5.9,0.42,0.26,2.52,0.04,18.2,23.02,cluster3
482,TX,0.52,0.92,0.49,79.04,0.05,28.38,13.54,cluster6
483,WA,0.7,11.4,0.8,17.4,0.1,24.3,17,cluster13
484,WI,0.2,1,0.2,0.9,0,15.8,24.6,cluster14
485,AL,18.33,0.48,0.92,2.6,0.09,26.03,12.26,cluster12
486,GA,45.6,0.47,1.94,9.94,0.1,26.26,11.16,cluster5
487,MI,0.38,1.26,0.21,1.55,0.06,19.5,20.67,cluster3
488,WA,0.94,3.12,3.84,8.13,0.29,20.28,14.36,cluster4
489,TX,11.32,2.08,0.54,13.35,0.07,20.85,19.53,cluster13
490,LA,38.6,0.5,0.1,2.3,0,25.3,14,cluster5
491,SD,0.3,1.59,0.17,0.89,0,20.68,22.75,cluster3
492,KY,5.3,0.2,0.8,2.7,0,26.5,9.1,cluster10
493,MO,4.56,0.6,1.68,3.37,0.29,22.31,10.84,cluster4
494,MT,0.41,22.36,0.44,3.81,0.07,25.38,17.29,cluster11
495,KS,1.2,1.6,0.3,29.8,0,30.5,13,cluster2
496,ME,0.4,0.4,0.3,0.9,0,20.6,15.5,cluster7
497,NC,5,0.3,0.2,2.6,0.1,22.2,15.9,cluster7
498,MT,0.1,8.33,0.31,2.02,0.02,21.25,20.86,cluster3
499,MO,5.35,0.56,2.16,5.97,0.28,25.51,11.47,cluster1
500,IL,7.88,0.28,0.89,2.83,0.05,22.35,14.98,cluster1
501,VA,20.09,0.21,0.63,2.33,0.02,19.8,21.89,cluster12
502,WA,2.78,1.75,5.1,6.62,0.97,21.77,13.74,cluster4
503,VA,48.02,7.08,0.43,1.61,0.07,16.6,19.17,cluster5
504,LA,30.18,0.35,0.67,3.54,0.05,24.95,12.15,cluster5
505,MN,1.7,0.3,1.8,2.1,0,22.7,12.8,cluster1
506,SC,33.4,0.2,0.6,3.2,0,22.2,17.7,cluster5
507,TX,2.13,4.26,0,19.15,0,12.77,13.83,cluster4
508,KS,0.4,0.5,0.5,1.3,0.1,21.3,22.9,cluster3
509,WI,1.79,0.24,0.45,1.01,0.04,21.49,19.44,cluster7
510,MN,0.39,9.02,0.31,1.4,0.01,24.28,18.9,cluster7
511,OK,9.2,14.2,0.3,3,0,24.9,15.2,cluster11
512,NC,18.63,1.38,1.32,11.29,0.07,23.04,15.29,cluster12
513,IA,1.27,0.25,0.91,3.89,0.02,21.36,18.06,cluster7
514,IA,8.4,0.3,1.3,3,0.1,21.7,14.3,cluster4
515,IN,4.37,0.29,0.22,1.51,0,21.14,15.56,cluster7
516,WA,1.93,1.02,4.31,7.82,0.68,26.02,11.96,cluster10
517,FL,18.09,1.29,0.31,6.59,0.11,21.22,11.1,cluster12
518,AL,22.06,0.35,0.14,2.03,0.13,21.56,13.86,cluster12
519,WV,7.33,0.22,1.09,1.06,0.04,20.44,17.27,cluster7
520,VA,36.4,0.29,0.4,1.67,0.02,21.36,20.89,cluster5
521,TX,1.64,2.75,0.3,50.36,0,26.84,15.06,cluster2
522,IN,3.3,0.3,1.2,7.3,0,24,12.2,cluster1
523,HI,0.61,0.52,29.27,10.35,10.63,22.44,14.03,cluster8
524,PA,0.8,0.1,0.3,1.1,0,23.1,13.3,cluster1
525,NC,6.48,0.64,0.7,6.35,0.02,23.08,17.18,cluster7
526,NY,4,0.41,0.55,2.52,0.05,21.21,15.49,cluster7
527,IL,0.8,0.3,0.5,0.8,0,22.3,19.3,cluster7
528,AK,1,81.3,1.4,2.5,0.1,35.5,5.7,cluster9
529,NV,0.8,4.7,0.7,23.9,0.1,28.6,10.8,cluster10
530,MI,0.66,2.97,0.33,0.96,0.03,19.78,22,cluster3
531,FL,16.01,0.58,0.22,12.4,0.02,19.94,12.67,cluster12
532,MI,0.58,0.67,0.63,1.74,0.06,23.63,16.27,cluster7
533,KS,0.69,0.81,0.46,2.29,0,23.6,17.53,cluster7
534,WI,0.53,0.63,0.45,2.85,0,19.76,21.56,cluster3
535,TX,3.35,0.73,0.54,20.14,0.07,23.43,18.28,cluster13
536,KY,2.23,0.38,0.25,0.91,0.01,23.92,15.91,cluster1
537,IN,1.8,0.1,0.3,0.9,0,23.5,16.4,cluster7
538,MO,0,0.3,0.2,0.7,0,22.9,21.2,cluster3
539,MI,4.02,1.25,0.48,10.46,0.03,24.86,14.9,cluster1
540,TX,2.13,1.05,0.39,15.06,0.07,22.6,20.11,cluster13
541,NC,49.3,0.3,0.8,6.8,0,26.4,14.2,cluster0
542,NC,15.2,0.4,1.8,9.2,0,27.8,10.7,cluster10
543,WV,0.1,0.2,0,0.3,0.1,19.4,20.6,cluster3
544,CA,0.97,3.09,0.88,8.49,0.11,17.72,21.65,cluster3
545,ND,0.54,2.06,0.22,1.25,0,21.65,17.03,cluster7
546,MD,14.03,0.77,0.73,5.43,0.33,24.25,14.44,cluster12
547,MT,0.23,0.92,0.69,3.58,0,21.97,23.82,cluster3
548,MA,4.65,0.26,9.78,6.79,0.07,21.03,13.26,cluster4
549,TX,6.3,1.06,0.56,53.92,0.09,23.5,14.25,cluster2
550,ND,2.6,2.78,1.1,3.39,0.12,23.62,12.57,cluster1
551,AL,36.37,0.65,1.99,2.37,0.13,19.91,13.43,cluster5
552,SD,1.23,9.69,1.1,4.01,0.08,24.33,13.87,cluster1
553,AL,68.34,0.9,0.21,7.75,0.81,21.87,13.61,cluster0
554,MI,12.8,0.3,5.6,3.2,0,23.4,12.9,cluster12
555,NE,0.2,0.37,0.36,4.44,0.04,24.11,19.4,cluster7
556,OH,1.1,0.8,0.3,0.9,0,24.5,14.2,cluster1
557,SD,0.62,13.69,1.11,1.9,0,25.61,16.15,cluster11
558,MI,0.69,0.68,0.3,1.6,0.03,20.73,20.23,cluster3
559,IN,0.52,0.17,0.16,5.03,0.03,25.08,15.94,cluster1
560,TX,9.98,0.85,0.52,10.99,0.04,23.59,18.73,cluster13
561,IN,26.66,0.51,2.19,9.57,0.09,25.16,10.88,cluster12
562,UT,0.23,1.64,1.15,10.46,0.32,32.3,12.94,cluster10
563,OR,0.57,1.25,1.38,7.77,0.25,20.15,17.2,cluster7
564,AL,20,0.4,0.8,2.6,0.1,23.4,15,cluster12
565,TX,0.37,1.11,0.39,20.6,0.06,19.92,26.91,cluster14
566,MN,0.6,2.7,0.2,0.9,0.1,20.6,20.4,cluster3
567,IN,5.18,0.28,2.2,3.1,0.05,26.88,11.02,cluster10
568,TX,10.69,1.04,0.46,22.96,0.2,25.68,15.98,cluster13
569,GA,28.3,0.3,0.4,1.8,0,22.7,13.3,cluster5
570,AL,25.89,0.5,0.86,3.09,0.06,24.34,14.8,cluster12
571,IN,0.8,0.1,0.3,15,0,26.7,14.4,cluster10
572,FL,55,0.3,0.5,9.4,0,23.8,13.1,cluster0
573,IA,0.7,0.19,1.23,1.61,0.03,24.33,16.16,cluster1
574,GA,28.35,1.18,0.55,10.28,0.23,25.46,15.11,cluster12
575,FL,17.63,0.54,1.03,5.03,0.07,21.85,16.32,cluster12
576,OH,7.4,0.27,2.51,4.13,0.1,24.91,11.78,cluster1
577,VA,18.76,0.36,6.82,5.12,0.08,14.64,9.41,cluster4
578,NC,32.4,0.5,0.2,4.5,0,21.1,17.2,cluster5
579,OH,20.3,0.3,1.5,2.1,0,22.8,15.2,cluster12
580,IA,1,0.2,2.4,2.6,0,19.6,14.6,cluster4
581,KY,2.24,0.19,0.32,0.8,0.06,22.1,16.52,cluster7
582,CA,0.3,2.3,0.2,9.8,0.1,18,18.7,cluster3
583,MS,21.5,14.7,0.5,2,0,28.7,13.1,cluster12
584,MO,0.6,0.8,0.2,1.6,0,26.1,18,cluster1
585,GA,0.76,0.29,0.53,2.1,0.04,15.11,30.86,cluster14
586,ND,0.21,83.74,0.16,2.07,0.05,38.42,7.29,cluster9
587,IA,1.4,0.61,0.68,6.75,0.04,23.95,14.91,cluster1
588,GA,41.93,0.19,0.68,3.55,0.01,22.08,19.49,cluster5
589,NE,0.07,0.29,0.26,1.4,0,20.64,19.83,cluster3
590,CO,0.69,0.64,0.84,5.59,0.15,23.17,12.25,cluster1
591,NC,25.25,0.85,0.45,6.86,0.06,21.6,20.1,cluster12
592,AK,7.05,25.58,38.23,12.65,0.6,10.25,6.3,cluster8
593,IA,2.1,0.6,0.9,2.5,0,21.7,20.5,cluster3
594,KS,0.19,0.79,0.98,7.42,0.09,24.78,22.82,cluster3
595,NM,3.4,1.6,1,65.2,0.1,27.6,12.2,cluster6
596,MO,0.2,0.4,0.4,1,0.2,23.9,22.6,cluster3
597,MN,0.38,8.51,0.57,1.19,0.08,16.86,21.44,cluster3
598,LA,44.61,0.32,0.31,1.15,0.01,20.56,13.33,cluster5
599,SD,0.85,1.06,2.76,2.01,0.08,18.72,10.04,cluster4
600,MT,0,1.51,0.55,4.13,0,18.84,24.9,cluster14
601,ID,0.35,1.3,0.47,29.37,0.21,31.06,11.56,cluster2
602,OK,1.78,20.98,0.52,3.58,0.07,24.87,15.95,cluster11
603,OH,11.93,0.24,0.75,2.45,0.02,23.71,14.96,cluster12
604,MI,5.55,0.57,0.42,5.43,0.03,20.82,15.61,cluster7
605,ID,0.2,1,0.6,8.7,0.1,25.1,18.2,cluster1
606,CO,1.2,0.8,3.8,13.5,0.1,21.2,9.1,cluster4
607,IN,0.45,0.31,0.54,8.75,0.06,26.01,15.49,cluster1
608,CT,13.1,0.4,3.5,13.7,0.1,22.6,14,cluster12
609,KS,0.58,0.61,0.61,2.96,0,22.31,20.15,cluster3
610,TX,1.3,1.2,0.1,5.2,0,21.8,15.4,cluster7
611,IN,4.9,1.2,0.4,1.7,0,22.6,13.9,cluster1
612,IL,7.48,0.34,0.69,3.03,0.02,19.49,16.45,cluster7
613,IA,2.3,0.3,4.6,22.4,0,26.4,14.5,cluster13
614,MI,0.13,0.71,0.21,1.2,0.01,13.98,33.48,cluster14
615,TX,3.55,0.8,2.5,70.38,0.15,24.29,11.97,cluster6
616,MN,1.2,0.4,1.2,2.2,0,29.5,9.1,cluster10
617,TN,0.47,0.24,0.15,2.31,0.04,21.81,17.43,cluster7
618,WI,0.88,0.55,3.47,2,0.04,20.67,13.27,cluster4
619,NJ,1.68,0.2,1.85,6.72,0.03,22.39,13.41,cluster1
620,TX,15.86,1.3,0.55,14.31,0.03,22.85,17.42,cluster12
621,NE,0.56,55,0.39,3.85,0.07,35.71,12.29,cluster9
622,NC,3.22,0.63,1.06,9.97,0.2,20.31,22.77,cluster3
623,VA,8.46,0.43,0.8,2.6,0.04,21.03,16.07,cluster7
624,IN,0.42,0.38,0.34,1.35,0.01,19.76,19.49,cluster3
625,KY,6.63,0.16,0.53,1.61,0.06,23.03,15.68,cluster7
626,CT,10.38,0.47,4.94,17.36,0.11,24.38,13.68,cluster13
627,WV,3.43,0.22,0.54,1.03,0.01,19.63,16.99,cluster7
628,FL,9.64,0.64,1.99,12.59,0.13,20.55,24.68,cluster14
629,WI,0.6,11.1,0.6,2.1,0,23.3,15.6,cluster1
630,NE,0.3,3,0.3,1.6,0,21.9,21.7,cluster3
631,CA,8.1,2.2,3.4,49.9,0.3,27.6,7.7,cluster2
632,NC,1.5,0.3,0.4,1.9,0,20.3,17.1,cluster7
633,TN,2.4,0.2,0.3,2.5,0,21.3,17.1,cluster7
634,IL,1.03,0.66,0.4,5.08,0.03,21.33,18.49,cluster7
635,NE,0.2,0.59,0,3.69,0,16.85,28.52,cluster14
636,OH,6.24,0.3,0.41,1.03,0.01,22.28,13.73,cluster1
637,AK,0.4,69.3,0.4,2.5,0.1,25.6,9.7,cluster9
638,MO,0.3,0.67,0.23,0.84,0,23.09,17.02,cluster7
639,WV,2.19,0.21,1.02,3.62,0.03,20.96,17.19,cluster7
640,TX,1.59,1.05,0.86,24.39,0.07,19.69,25.91,cluster13
641,OH,2.19,0.21,0.42,0.77,0.01,23.1,15.74,cluster7
642,TN,1.99,0.71,1.26,5.36,0.13,21.42,15.37,cluster7
643,MA,2.75,0.81,3.4,17.04,0.14,22.51,14.85,cluster13
644,MN,0.5,32.6,0.1,3.5,0,29.2,17.3,cluster11
645,TX,25.9,0.3,0.4,10.5,0.1,21.5,18.7,cluster12
646,IL,0.39,0.18,0.32,1.21,0.02,22.33,18.25,cluster7
647,CO,0.3,0.9,0.8,9.8,0.1,17.9,4.7,cluster4
648,TX,8.2,1.1,0.4,46.7,0.2,28.3,15.1,cluster2
649,KY,2.4,0.3,0.2,1.9,0,24,14.3,cluster1
650,OH,3.1,0.3,0.7,1.2,0,24.5,13.5,cluster1
651,IN,4.56,0.29,0.22,1.52,0,20.79,15.34,cluster7
652,TN,0.4,0.3,0.1,0.8,0,24.9,13.1,cluster1
653,IA,1.2,0.24,0.93,3.96,0.02,21.1,18.65,cluster7
654,MO,4.2,0.5,0.3,1,0,23.3,18,cluster7
655,MN,1.3,2.3,0.9,1.1,0,19.5,16.1,cluster7
656,KS,0.73,0.86,0.44,15.29,0,27.1,17.19,cluster13
657,TX,8.91,0.8,0.66,24.26,0.09,28.53,10.35,cluster10
658,WV,3.9,0.1,1.1,0.8,0,20,19.4,cluster3
659,VA,37.1,0.2,0.6,2.4,0,19.7,20.8,cluster5
660,VA,44.59,0.29,1.07,3.91,0.02,21.73,18.73,cluster5
661,TX,0.5,0.66,0.75,20.93,0.07,23.46,18.02,cluster13
662,ND,0,3.4,0.4,0.8,0,18.8,25.9,cluster14
663,SC,31.2,0.2,0.2,1,0,22.8,16.6,cluster5
664,SD,0.4,0.9,0.8,1.4,0,20.5,17.7,cluster7
665,WI,0.41,0.18,0.58,1.43,0.02,24.26,14.18,cluster1
666,KS,1.41,9.3,0.38,3.42,0.02,25.12,18.3,cluster1
667,GA,43.81,0.35,5.87,7.89,0.06,23.31,9.6,cluster5
668,VA,24.42,0.41,0.83,2,0.04,21.78,16.14,cluster12
669,IN,0.4,0.4,0.3,1.1,0,23,15.8,cluster7
670,VA,19.1,0.44,6.32,6.99,0.17,23.61,10.87,cluster12
671,NC,11.22,0.82,0.59,5.06,0.06,17.99,24.29,cluster14
672,GA,25.26,0.85,0.78,11.27,0.08,27.69,14.24,cluster12
673,PA,0.6,0.2,0.3,1.2,0,21.8,17.1,cluster7
674,MI,6.51,0.5,1.79,4.82,0.03,22.76,14.6,cluster1
675,NE,0.21,0.52,0.1,1.74,0,21.06,23.14,cluster3
676,VA,56.68,0.27,0.33,1.84,0.05,18.58,17.22,cluster0
677,NV,3.55,16.09,1.54,9.94,0.11,18.05,23.77,cluster14
678,MO,6.6,0.4,0.1,1.3,0.1,21.2,15.6,cluster7
679,NV,1.7,2.2,1.8,15.4,0.2,25.2,14.5,cluster13
680,PA,13.16,0.16,2.97,1.67,0.03,19.29,16.93,cluster4
681,WI,0.33,0.67,0.55,1.38,0.03,19.74,20.74,cluster3
682,WY,0.44,1.19,0.73,6.99,0.01,23.2,11.37,cluster1
683,KY,2.27,0.12,0.07,2.79,0.05,22.88,17.47,cluster7
684,WI,1.25,0.54,1.16,4.48,0.03,22.28,15.71,cluster7
685,NE,0.23,0.38,0.38,4.4,0.05,23.32,18.78,cluster7
686,MI,0.19,0.74,0.36,1.56,0.03,19.31,23.34,cluster3
687,AL,41.38,0.49,0.55,4.17,0.22,25.66,12.27,cluster5
688,IL,8.48,0.38,0.44,2.87,0.04,20.24,16.34,cluster7
